testDataY,predDataY,modelType,var,group,modelSimulation
0.09055176,0.09027033670000005,rfModel,Vol(aq),group1,rfModel_simulation
0.04141889,0.0394808222,rfModel,Vol(aq),group1,rfModel_simulation
0.1147003,0.10881209710000003,rfModel,Vol(aq),group1,rfModel_simulation
0.1064589,0.1097325429,rfModel,Vol(aq),group1,rfModel_simulation
0.08052236,0.07910964230000002,rfModel,Vol(aq),group1,rfModel_simulation
0.09354889,0.09353750810000007,rfModel,Vol(aq),group1,rfModel_simulation
0.02356195,0.023572916750000027,rfModel,Vol(aq),group1,rfModel_simulation
0.02635973,0.030933564800000025,rfModel,Vol(aq),group1,rfModel_simulation
0.08911074,0.08641994289999999,rfModel,Vol(aq),group1,rfModel_simulation
0.027239,0.02472486589999999,rfModel,Vol(aq),group1,rfModel_simulation
0.07755765,0.0755129136999999,rfModel,Vol(aq),group1,rfModel_simulation
0.09494578,0.0879853264,rfModel,Vol(aq),group1,rfModel_simulation
0.08659122,0.08580428780000002,rfModel,Vol(aq),group1,rfModel_simulation
0.01845348,0.020433657199999997,rfModel,Vol(aq),group1,rfModel_simulation
0.01715786,0.02473089154999998,rfModel,Vol(aq),group1,rfModel_simulation
0.0640992,0.06315048569999997,rfModel,Vol(aq),group1,rfModel_simulation
0.1257576,0.12414315399999994,rfModel,Vol(aq),group1,rfModel_simulation
0.06531872,0.06879501579999987,rfModel,Vol(aq),group1,rfModel_simulation
0.06809937,0.06838750289999995,rfModel,Vol(aq),group1,rfModel_simulation
0.02042316,0.023785042349999994,rfModel,Vol(aq),group1,rfModel_simulation
0.08061102,0.07671203299999994,rfModel,Vol(aq),group1,rfModel_simulation
0.09483252,0.09368854700000011,rfModel,Vol(aq),group1,rfModel_simulation
0.1048773,0.10549746099999996,rfModel,Vol(aq),group1,rfModel_simulation
0.05988458,0.05368425380000006,rfModel,Vol(aq),group1,rfModel_simulation
0.04325211,0.03985523149999997,rfModel,Vol(aq),group1,rfModel_simulation
0.01783442,0.0182336495,rfModel,Vol(aq),group1,rfModel_simulation
0.01743703,0.0183661857,rfModel,Vol(aq),group1,rfModel_simulation
0.1139624,0.11354002499999993,rfModel,Vol(aq),group1,rfModel_simulation
0.04481971,0.042965728900000014,rfModel,Vol(aq),group1,rfModel_simulation
0.07168265,0.07177278339999997,rfModel,Vol(aq),group1,rfModel_simulation
0.1058429,0.10603636129999999,rfModel,Vol(aq),group1,rfModel_simulation
0.01955579,0.023654170249999988,rfModel,Vol(aq),group1,rfModel_simulation
0.08000659,0.08130562109999988,rfModel,Vol(aq),group1,rfModel_simulation
0.03600224,0.034702666100000015,rfModel,Vol(aq),group1,rfModel_simulation
0.08024643,0.07870190579999997,rfModel,Vol(aq),group1,rfModel_simulation
0.09342712,0.09581670839999999,rfModel,Vol(aq),group1,rfModel_simulation
0.06225931,0.05956838640000006,rfModel,Vol(aq),group1,rfModel_simulation
0.07536798,0.07982695079999999,rfModel,Vol(aq),group1,rfModel_simulation
0.08640472,0.08690340209999999,rfModel,Vol(aq),group1,rfModel_simulation
0.09067062,0.08667762799999998,rfModel,Vol(aq),group1,rfModel_simulation
0.04915217,0.0488200391,rfModel,Vol(aq),group1,rfModel_simulation
0.08392674,0.0824039718,rfModel,Vol(aq),group1,rfModel_simulation
0.1038758,0.10308674519999997,rfModel,Vol(aq),group1,rfModel_simulation
0.04407034,0.04155360809999999,rfModel,Vol(aq),group1,rfModel_simulation
0.07914926,0.07559509339999994,rfModel,Vol(aq),group1,rfModel_simulation
0.08810779,0.08561164299999996,rfModel,Vol(aq),group1,rfModel_simulation
0.06761043,0.06310470709999995,rfModel,Vol(aq),group1,rfModel_simulation
0.03405258,0.026546851400000005,rfModel,Vol(aq),group1,rfModel_simulation
0.09070502,0.0877196612999999,rfModel,Vol(aq),group1,rfModel_simulation
0.02905646,0.028562635999999978,rfModel,Vol(aq),group1,rfModel_simulation
0.0956789,0.09394250240000002,rfModel,Vol(aq),group1,rfModel_simulation
0.03638973,0.03590773450000002,rfModel,Vol(aq),group1,rfModel_simulation
0.1056473,0.10664268859999992,rfModel,Vol(aq),group1,rfModel_simulation
0.1173998,0.11802706699999996,rfModel,Vol(aq),group1,rfModel_simulation
0.05707989,0.05806568819999999,rfModel,Vol(aq),group1,rfModel_simulation
0.04538459,0.043193524999999997,rfModel,Vol(aq),group1,rfModel_simulation
0.08044991,0.07871887540000005,rfModel,Vol(aq),group1,rfModel_simulation
0.07809138,0.07724839179999998,rfModel,Vol(aq),group1,rfModel_simulation
0.1012537,0.10010080779999991,rfModel,Vol(aq),group1,rfModel_simulation
0.06374562,0.06136709039999998,rfModel,Vol(aq),group1,rfModel_simulation
0.0611462,0.06563503849999995,rfModel,Vol(aq),group1,rfModel_simulation
0.1060243,0.10503024720000008,rfModel,Vol(aq),group1,rfModel_simulation
0.1024768,0.10175859749999998,rfModel,Vol(aq),group1,rfModel_simulation
0.1073917,0.10907417449999998,rfModel,Vol(aq),group2,rfModel_simulation
0.02489714,0.03404619440000002,rfModel,Vol(aq),group2,rfModel_simulation
0.1047699,0.10965770299999993,rfModel,Vol(aq),group2,rfModel_simulation
0.04456439,0.04998559429999995,rfModel,Vol(aq),group2,rfModel_simulation
0.07220113,0.07493246179999996,rfModel,Vol(aq),group2,rfModel_simulation
0.09085286,0.08969751610000004,rfModel,Vol(aq),group2,rfModel_simulation
0.09721411,0.09766178359999995,rfModel,Vol(aq),group2,rfModel_simulation
0.1094175,0.11081056899999998,rfModel,Vol(aq),group2,rfModel_simulation
0.1187876,0.11648441799999992,rfModel,Vol(aq),group2,rfModel_simulation
0.02910079,0.039289064199999994,rfModel,Vol(aq),group2,rfModel_simulation
0.1222173,0.11904506800000003,rfModel,Vol(aq),group2,rfModel_simulation
0.09968345,0.10501699550000003,rfModel,Vol(aq),group2,rfModel_simulation
0.08120775,0.0802160660999999,rfModel,Vol(aq),group2,rfModel_simulation
0.127054,0.11765295000000008,rfModel,Vol(aq),group2,rfModel_simulation
0.07678551,0.08011357710000011,rfModel,Vol(aq),group2,rfModel_simulation
0.04855744,0.055193417400000014,rfModel,Vol(aq),group2,rfModel_simulation
0.09710862,0.09425556880000004,rfModel,Vol(aq),group2,rfModel_simulation
0.0691679,0.07140717059999993,rfModel,Vol(aq),group2,rfModel_simulation
0.09280804,0.09551809129999995,rfModel,Vol(aq),group2,rfModel_simulation
0.05199578,0.05816087839999997,rfModel,Vol(aq),group2,rfModel_simulation
0.04925407,0.053834457600000024,rfModel,Vol(aq),group2,rfModel_simulation
0.1324076,0.12335211600000008,rfModel,Vol(aq),group2,rfModel_simulation
0.04270972,0.04886898269999999,rfModel,Vol(aq),group2,rfModel_simulation
0.06113945,0.06858370010000003,rfModel,Vol(aq),group2,rfModel_simulation
0.05934039,0.0658707377,rfModel,Vol(aq),group2,rfModel_simulation
0.0476386,0.0586376848,rfModel,Vol(aq),group2,rfModel_simulation
0.03928536,0.05156294869999999,rfModel,Vol(aq),group2,rfModel_simulation
0.1324138,0.13241379425420682,linear,Vol(aq),group3,rfModel_simulation
0.1038142,0.1038142288798806,linear,Vol(aq),group3,rfModel_simulation
0.07910154,0.07910154694365419,linear,Vol(aq),group3,rfModel_simulation
0.04467282,0.04467282575310587,linear,Vol(aq),group3,rfModel_simulation
0.1305831,0.13058313194731613,linear,Vol(aq),group3,rfModel_simulation
0.09074376,0.09074377085208743,linear,Vol(aq),group3,rfModel_simulation
0.07851276,0.07851276505241848,linear,Vol(aq),group3,rfModel_simulation
0.1336069,0.13360690622859037,linear,Vol(aq),group3,rfModel_simulation
0.1251687,0.12516870682593795,linear,Vol(aq),group3,rfModel_simulation
0.1064172,0.10641718135455439,linear,Vol(aq),group3,rfModel_simulation
0.09213066,0.09213066768017165,linear,Vol(aq),group3,rfModel_simulation
0.1415803,0.14158031752160774,linear,Vol(aq),group3,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
12.47261,12.472615,CONST,pH,group1,rfModel_simulation
