T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,1.155197,0.3186395,3.503708,0.03521586,12.47261,0.0007137728,1.154483,1.088749e-06,0.3186384,0.636052,0.0,0.06473851,0.5184312,0.3186384,0.9170579,1.627021,0.3921977
25.0,0.7049014,0.2868896,4.398705,0.06022986,12.47261,0.00122077,0.7036806,1.862088e-06,0.2868877,0.2369084,0.0,0.05828766,0.4667722,0.2868877,0.8256778,1.627021,0.3531172
25.0,0.7080703,0.3397904,5.304573,0.07533778,12.47261,0.001526985,0.7065433,2.329172e-06,0.3397881,0.1537011,0.0,0.06903554,0.5528422,0.3397881,0.9779277,1.627021,0.4182299
25.0,1.389262,0.3404057,5.261215,0.06223818,12.47261,0.001261476,1.388001,1.924201e-06,0.3404038,0.8341566,0.0,0.06916064,0.5538439,0.3404038,0.9796997,1.627021,0.4189877
25.0,1.358411,0.4700108,2.894919,0.01713058,12.47261,0.0003472108,1.358064,5.296137e-07,0.4700103,0.5933475,0.0,0.09549309,0.7647163,0.4700103,1.352714,1.62702,0.5785145
25.0,1.381803,0.3256022,4.55787,0.05000461,12.47261,0.001013519,1.380789,1.545949e-06,0.3256007,0.8510305,0.0,0.06615305,0.5297589,0.3256007,0.9370956,1.627021,0.4007672
25.0,1.003198,0.4424334,3.145395,0.0286927,12.47261,0.000581558,1.002616,8.870721e-07,0.4424325,0.2827697,0.0,0.08989005,0.7198468,0.4424325,1.273344,1.627021,0.5445703
25.0,1.707738,0.5046168,4.669761,0.04209417,12.47261,0.0008531859,1.706885,1.301399e-06,0.5046155,0.885865,0.0,0.1025239,0.8210198,0.5046155,1.45231,1.627021,0.6211086
25.0,1.227444,0.2076094,4.002811,0.04543372,12.47261,0.0009208623,1.226523,1.404646e-06,0.207608,0.8887407,0.0,0.0421802,0.3377825,0.207608,0.5975066,1.627021,0.2555354
25.0,1.611454,0.6793426,6.32311,0.06974559,12.47261,0.001413639,1.61004,2.156222e-06,0.6793404,0.5047395,0.0,0.1380232,1.105301,0.6793404,1.955177,1.627021,0.8361697
25.0,1.20262,0.4935947,7.418824,0.1011153,12.47261,0.002049458,1.200571,3.126164e-06,0.4935916,0.3974869,0.0,0.1002842,0.8030836,0.4935916,1.420582,1.627021,0.6075397
