testDataY,predDataY,modelType,var,group,modelSimulation
0.1060243,0.10391532710000005,rfModel,Vol(aq),group1,rfModel_simulation
0.07533778,0.07413103609999994,rfModel,Vol(aq),group1,rfModel_simulation
0.02969403,0.028217894899999978,rfModel,Vol(aq),group1,rfModel_simulation
0.03754374,0.03544294299999999,rfModel,Vol(aq),group1,rfModel_simulation
0.08632525,0.08702349509999995,rfModel,Vol(aq),group1,rfModel_simulation
0.1107402,0.1098570812000001,rfModel,Vol(aq),group1,rfModel_simulation
0.09483252,0.0959274432000001,rfModel,Vol(aq),group1,rfModel_simulation
0.07168265,0.07195634420000001,rfModel,Vol(aq),group1,rfModel_simulation
0.04209417,0.04130196170000001,rfModel,Vol(aq),group1,rfModel_simulation
0.044826,0.042674894199999994,rfModel,Vol(aq),group1,rfModel_simulation
0.0257782,0.02382666179999999,rfModel,Vol(aq),group1,rfModel_simulation
0.08566325,0.08599263599999996,rfModel,Vol(aq),group1,rfModel_simulation
0.02445248,0.026918569899999977,rfModel,Vol(aq),group1,rfModel_simulation
0.09428806,0.09410563740000005,rfModel,Vol(aq),group1,rfModel_simulation
0.02373516,0.024285800800000007,rfModel,Vol(aq),group1,rfModel_simulation
0.03521586,0.03424593710000003,rfModel,Vol(aq),group1,rfModel_simulation
0.09206856,0.09218896360000006,rfModel,Vol(aq),group1,rfModel_simulation
0.1060752,0.10824684549999997,rfModel,Vol(aq),group1,rfModel_simulation
0.1034656,0.10222558029999997,rfModel,Vol(aq),group1,rfModel_simulation
0.07789523,0.08081140700000006,rfModel,Vol(aq),group1,rfModel_simulation
0.1188627,0.12015876999999993,rfModel,Vol(aq),group1,rfModel_simulation
0.03378202,0.033181573399999977,rfModel,Vol(aq),group1,rfModel_simulation
0.0366668,0.03627324809999998,rfModel,Vol(aq),group1,rfModel_simulation
0.027239,0.025757762450000003,rfModel,Vol(aq),group1,rfModel_simulation
0.06914167,0.0705276118999999,rfModel,Vol(aq),group1,rfModel_simulation
0.02229568,0.022270446000000013,rfModel,Vol(aq),group1,rfModel_simulation
0.05518653,0.053021038300000024,rfModel,Vol(aq),group1,rfModel_simulation
0.05035705,0.050008236299999995,rfModel,Vol(aq),group1,rfModel_simulation
0.05000461,0.04907593490000001,rfModel,Vol(aq),group1,rfModel_simulation
0.112323,0.11278436700000002,rfModel,Vol(aq),group1,rfModel_simulation
0.07429241,0.07637077060000003,rfModel,Vol(aq),group1,rfModel_simulation
0.04496308,0.03909757420000003,rfModel,Vol(aq),group1,rfModel_simulation
0.0956789,0.09513777320000003,rfModel,Vol(aq),group1,rfModel_simulation
0.05871763,0.058955981800000064,rfModel,Vol(aq),group1,rfModel_simulation
0.06974559,0.07055647940000005,rfModel,Vol(aq),group1,rfModel_simulation
0.03699502,0.03822662270000001,rfModel,Vol(aq),group1,rfModel_simulation
0.09227235,0.08978472629999999,rfModel,Vol(aq),group1,rfModel_simulation
0.06475749,0.06765787309999995,rfModel,Vol(aq),group1,rfModel_simulation
0.04304144,0.042676138900000035,rfModel,Vol(aq),group1,rfModel_simulation
0.08555794,0.08776329880000006,rfModel,Vol(aq),group1,rfModel_simulation
0.07328596,0.07337035669999999,rfModel,Vol(aq),group1,rfModel_simulation
0.104379,0.10235923789999996,rfModel,Vol(aq),group1,rfModel_simulation
0.08745221,0.0875101361000001,rfModel,Vol(aq),group1,rfModel_simulation
0.09935022,0.09964920049999995,rfModel,Vol(aq),group1,rfModel_simulation
0.06809937,0.06820536499999993,rfModel,Vol(aq),group1,rfModel_simulation
0.06225931,0.05964395470000005,rfModel,Vol(aq),group1,rfModel_simulation
0.0745396,0.07273948699999995,rfModel,Vol(aq),group1,rfModel_simulation
0.03392645,0.035807419100000036,rfModel,Vol(aq),group1,rfModel_simulation
0.04897531,0.04615571850000005,rfModel,Vol(aq),group1,rfModel_simulation
0.03863962,0.03934117370000004,rfModel,Vol(aq),group1,rfModel_simulation
0.03780879,0.03849479980000002,rfModel,Vol(aq),group1,rfModel_simulation
0.01783442,0.01750755424999998,rfModel,Vol(aq),group1,rfModel_simulation
0.09539617,0.09687104969999995,rfModel,Vol(aq),group1,rfModel_simulation
0.0611462,0.06815530289999998,rfModel,Vol(aq),group1,rfModel_simulation
0.05707989,0.06009033039999992,rfModel,Vol(aq),group1,rfModel_simulation
0.03990952,0.03724771340000001,rfModel,Vol(aq),group1,rfModel_simulation
0.1011153,0.10160611889999999,rfModel,Vol(aq),group1,rfModel_simulation
0.08659122,0.08725284789999996,rfModel,Vol(aq),group1,rfModel_simulation
0.09067062,0.08850473119999998,rfModel,Vol(aq),group1,rfModel_simulation
0.09574519,0.09611304990000004,rfModel,Vol(aq),group1,rfModel_simulation
0.02349351,0.022836435400000007,rfModel,Vol(aq),group1,rfModel_simulation
0.1281473,0.12501715600000007,rfModel,Vol(aq),group1,rfModel_simulation
0.05084381,0.047350086499999985,rfModel,Vol(aq),group1,rfModel_simulation
0.05581054,0.05229779010000005,rfModel,Vol(aq),group1,rfModel_simulation
0.03544618,0.036385293300000024,rfModel,Vol(aq),group1,rfModel_simulation
0.06984818,0.07084653760000002,rfModel,Vol(aq),group1,rfModel_simulation
0.07914926,0.0768006149,rfModel,Vol(aq),group1,rfModel_simulation
0.1252316,0.1242620109999999,rfModel,Vol(aq),group1,rfModel_simulation
0.09378035,0.09237207829999998,rfModel,Vol(aq),group1,rfModel_simulation
0.03477776,0.03663065549999997,rfModel,Vol(aq),group1,rfModel_simulation
0.08911074,0.0876623508,rfModel,Vol(aq),group1,rfModel_simulation
0.06048603,0.058802481699999964,rfModel,Vol(aq),group1,rfModel_simulation
0.03603356,0.03764810089999996,rfModel,Vol(aq),group1,rfModel_simulation
0.0118861,0.015208930649999992,rfModel,Vol(aq),group1,rfModel_simulation
0.1056473,0.10705228859999995,rfModel,Vol(aq),group1,rfModel_simulation
0.02428522,0.02351043110000001,rfModel,Vol(aq),group1,rfModel_simulation
0.05988458,0.05380863580000006,rfModel,Vol(aq),group1,rfModel_simulation
0.0704027,0.07015160759999993,rfModel,Vol(aq),group1,rfModel_simulation
0.09342712,0.09257930790000003,rfModel,Vol(aq),group1,rfModel_simulation
0.09196535,0.08830867879999989,rfModel,Vol(aq),group1,rfModel_simulation
0.07114763,0.07162358749999993,rfModel,Vol(aq),group1,rfModel_simulation
0.1102527,0.10778578910000008,rfModel,Vol(aq),group1,rfModel_simulation
0.08399884,0.0841476026999999,rfModel,Vol(aq),group1,rfModel_simulation
0.1194409,0.1179737370000001,rfModel,Vol(aq),group1,rfModel_simulation
0.01241483,0.014357922799999985,rfModel,Vol(aq),group1,rfModel_simulation
0.06375704,0.06272732149999992,rfModel,Vol(aq),group1,rfModel_simulation
0.01941067,0.019669067000000012,rfModel,Vol(aq),group1,rfModel_simulation
0.0459212,0.04395195550000003,rfModel,Vol(aq),group1,rfModel_simulation
0.05785959,0.05733871279999997,rfModel,Vol(aq),group1,rfModel_simulation
0.1106917,0.10917367130000004,rfModel,Vol(aq),group1,rfModel_simulation
0.06374562,0.05982449400000005,rfModel,Vol(aq),group1,rfModel_simulation
