T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.9121397,0.3174807,7.179827,0.1060243,12.47261,0.002148953,0.9099907,3.277824e-06,0.3174774,0.3934485,0.0,0.06450263,0.5165423,0.3174774,0.9137165,1.627021,0.3907687
25.0,0.7080703,0.3397904,5.304573,0.07533778,12.47261,0.001526985,0.7065433,2.329172e-06,0.3397881,0.1537011,0.0,0.06903554,0.5528422,0.3397881,0.9779277,1.627021,0.4182299
25.0,1.408017,0.2218519,3.329703,0.02969403,12.47261,0.0006018566,1.407415,9.180257e-07,0.221851,1.046459,0.0,0.04507399,0.3609561,0.221851,0.6384987,1.627021,0.2730664
25.0,1.254918,0.5649633,4.040481,0.03754374,12.47261,0.0007609555,1.254157,1.160719e-06,0.5649621,0.334952,0.0,0.1147847,0.919205,0.5649621,1.62599,1.627021,0.6953865
25.0,1.318249,0.5810989,6.825006,0.08632525,12.47261,0.001749684,1.316499,2.668857e-06,0.5810962,0.3710438,0.0,0.1180627,0.9454555,0.5810962,1.672425,1.627021,0.7152453
25.0,0.8958696,0.4689084,7.614114,0.1107402,12.47261,0.002244539,0.8936251,3.423679e-06,0.468905,0.130707,0.0,0.09526853,0.762918,0.468905,1.349533,1.627021,0.5771541
25.0,1.169557,0.328453,6.83129,0.09483252,12.47261,0.001922129,1.167635,2.931874e-06,0.3284501,0.6332399,0.0,0.06673197,0.534395,0.3284501,0.9452964,1.627021,0.4042745
25.0,1.349361,0.362521,5.771917,0.07168265,12.47261,0.001452899,1.347908,2.216152e-06,0.3625188,0.7580826,0.0,0.07365379,0.5898255,0.3625188,1.043348,1.627021,0.4462081
25.0,1.707738,0.5046168,4.669761,0.04209417,12.47261,0.0008531859,1.706885,1.301399e-06,0.5046155,0.885865,0.0,0.1025239,0.8210198,0.5046155,1.45231,1.627021,0.6211086
25.0,1.430514,0.324613,4.318607,0.044826,12.47261,0.0009085727,1.429605,1.385856e-06,0.3246116,0.9014556,0.0,0.06595211,0.5281498,0.3246116,0.9342491,1.627021,0.3995499
25.0,0.9582482,0.4753324,2.980228,0.0257782,12.47261,0.0005224854,0.9577257,7.969699e-07,0.4753316,0.1843515,0.0,0.09657424,0.7733742,0.4753316,1.368029,1.62702,0.5850643
25.0,1.596969,0.6800762,7.190896,0.08566325,12.47261,0.001736267,1.595233,2.648401e-06,0.6800736,0.4887391,0.0,0.1381721,1.106494,0.6800736,1.957287,1.627021,0.837072
25.0,1.741751,0.2892974,3.457591,0.02445248,12.47261,0.0004955976,1.741255,7.559827e-07,0.2892966,1.270564,0.0,0.05877708,0.4706916,0.2892966,0.8326107,1.62702,0.3560822
25.0,1.042971,0.2878046,6.623705,0.09428806,12.47261,0.001911053,1.04106,2.914988e-06,0.2878017,0.5728007,0.0,0.05847335,0.4682593,0.2878017,0.8283082,1.627021,0.3542422
25.0,1.143091,0.6202478,3.233243,0.02373516,12.47261,0.0004810759,1.14261,7.33807e-07,0.6202471,0.1334552,0.0,0.1260171,1.009155,0.6202471,1.785103,1.627021,0.7634343
25.0,1.155197,0.3186395,3.503708,0.03521586,12.47261,0.0007137728,1.154483,1.088749e-06,0.3186384,0.636052,0.0,0.06473851,0.5184312,0.3186384,0.9170579,1.627021,0.3921977
25.0,1.10367,0.3893607,6.688561,0.09206856,12.47261,0.001866083,1.101804,2.846061e-06,0.3893579,0.4683107,0.0,0.07910675,0.6334932,0.3893579,1.120592,1.627021,0.4792431
25.0,1.147672,0.6431453,7.825596,0.1060752,12.47261,0.002149987,1.145522,3.279439e-06,0.643142,0.09911673,0.0,0.1306687,1.046405,0.643142,1.850996,1.627021,0.7916147
25.0,0.6383948,0.2135128,6.634346,0.1034656,12.47261,0.002097094,0.6362977,3.198747e-06,0.2135096,0.2889132,0.0,0.04337925,0.3473845,0.2135096,0.6144917,1.627021,0.2627994
25.0,1.656967,0.5638886,6.675428,0.07789523,12.47261,0.001578821,1.655388,2.40826e-06,0.5638862,0.7379338,0.0,0.1145661,0.9174544,0.5638862,1.622894,1.627021,0.6940622
25.0,1.006694,0.3315394,8.002829,0.1188627,12.47261,0.002409179,1.004285,3.674801e-06,0.3315357,0.4648694,0.0,0.06735889,0.5394155,0.3315357,0.9541771,1.627021,0.4080725
25.0,1.036033,0.2335847,3.198747,0.03378202,12.47261,0.0006847092,1.035348,1.044415e-06,0.2335837,0.6553029,0.0,0.04745774,0.3800454,0.2335837,0.6722659,1.627021,0.2875077
25.0,1.297488,0.583137,4.057231,0.0366668,12.47261,0.0007431811,1.296745,1.133599e-06,0.5831359,0.3479708,0.0,0.1184771,0.948774,0.5831359,1.678295,1.627021,0.7177558
25.0,1.238525,0.6571813,3.568888,0.027239,12.47261,0.0005520936,1.237973,8.421293e-07,0.6571805,0.1687268,0.0,0.1335209,1.069246,0.6571805,1.891399,1.627021,0.8088939
25.0,1.114174,0.6026734,5.696475,0.06914167,12.47261,0.001401399,1.112773,2.137615e-06,0.6026713,0.1322141,0.0,0.1224461,0.9805585,0.6026713,1.734519,1.627021,0.741801
25.0,1.590998,0.4826347,3.429288,0.02229568,12.47261,0.0004518999,1.590546,6.893004e-07,0.482634,0.8052907,0.0,0.09805788,0.7852554,0.482634,1.389046,1.627021,0.5940525
25.0,1.304205,0.4174941,4.882152,0.05518653,12.47261,0.001118549,1.303086,1.706166e-06,0.4174924,0.6238178,0.0,0.08482291,0.6792687,0.4174924,1.201565,1.627021,0.5138727
25.0,1.101442,0.5869208,4.623941,0.05035705,12.47261,0.001020662,1.100421,1.556854e-06,0.5869192,0.1454917,0.0,0.1192458,0.9549297,0.5869192,1.689184,1.627021,0.7224126
25.0,1.381803,0.3256022,4.55787,0.05000461,12.47261,0.001013519,1.380789,1.545949e-06,0.3256007,0.8510305,0.0,0.06615305,0.5297589,0.3256007,0.9370956,1.627021,0.4007672
25.0,1.016601,0.5237271,7.891068,0.112323,12.47261,0.002276621,1.014324,3.472618e-06,0.5237236,0.1622153,0.0,0.1064062,0.8521091,0.5237236,1.507304,1.627021,0.6446279
25.0,1.644949,0.5807718,6.485045,0.07429241,12.47261,0.001505797,1.643443,2.296852e-06,0.5807695,0.6985193,0.0,0.1179963,0.9449239,0.5807695,1.671485,1.627021,0.7148431
25.0,0.8124469,0.2381067,3.599907,0.04496308,12.47261,0.0009113345,0.8115356,1.390092e-06,0.2381053,0.4241333,0.0,0.04837642,0.3874022,0.2381053,0.6852794,1.627021,0.2930731
25.0,1.084758,0.5775432,7.104974,0.0956789,12.47261,0.001939269,1.082819,2.958031e-06,0.5775402,0.1431489,0.0,0.1173402,0.9396698,0.5775402,1.662191,1.627021,0.7108684
25.0,0.9799821,0.5532972,4.923338,0.05871763,12.47261,0.001190118,0.978792,1.815316e-06,0.5532954,0.07856903,0.0,0.1124143,0.900223,0.5532954,1.592413,1.627021,0.6810265
25.0,1.611454,0.6793426,6.32311,0.06974559,12.47261,0.001413639,1.61004,2.156222e-06,0.6793404,0.5047395,0.0,0.1380232,1.105301,0.6793404,1.955177,1.627021,0.8361697
25.0,1.462657,0.6953377,4.380941,0.03699502,12.47261,0.0007498338,1.461907,1.143752e-06,0.6953366,0.3305803,0.0,0.1412732,1.131327,0.6953366,2.001215,1.627021,0.8558586
25.0,1.055254,0.2155603,6.433999,0.09227235,12.47261,0.001870254,1.053384,2.852723e-06,0.2155574,0.7026673,0.0,0.04379532,0.3507164,0.2155574,0.6203856,1.627021,0.26532
25.0,1.492394,0.5459267,5.760954,0.06475749,12.47261,0.001312538,1.491081,2.002076e-06,0.5459247,0.6028508,0.0,0.1109168,0.8882307,0.5459247,1.5712,1.627021,0.6719542
25.0,1.021647,0.2200813,3.680157,0.04304144,12.47261,0.0008723857,1.020775,1.330672e-06,0.22008,0.6627,0.0,0.04471416,0.3580746,0.22008,0.6334016,1.627021,0.2708866
25.0,1.220465,0.5670242,6.667129,0.08555794,12.47261,0.001734132,1.218731,2.645109e-06,0.5670216,0.2961751,0.0,0.1152031,0.9225557,0.5670216,1.631917,1.627021,0.6979214
25.0,0.9247504,0.2729156,5.323982,0.07328596,12.47261,0.0014854,0.923265,2.265766e-06,0.2729133,0.4792294,0.0,0.05544844,0.4440356,0.2729133,0.7854587,1.627021,0.3359168
25.0,0.5912939,0.2988005,6.744514,0.104379,12.47261,0.002115607,0.5891783,3.227009e-06,0.2987973,0.103029,0.0,0.06070734,0.4861493,0.2987973,0.8599541,1.627021,0.3677762
25.0,1.681727,0.4919635,7.139373,0.08745221,12.47261,0.001772529,1.679954,2.703841e-06,0.4919608,0.8795242,0.0,0.09995283,0.8004303,0.4919608,1.415889,1.627021,0.6055325
25.0,0.8595976,0.3981634,6.858683,0.09935022,12.47261,0.002013682,0.8575839,3.071588e-06,0.3981603,0.2097689,0.0,0.08089517,0.647815,0.3981603,1.145926,1.627021,0.4900777
25.0,1.509319,0.4035198,5.784762,0.06809937,12.47261,0.001380276,1.507939,2.105356e-06,0.4035177,0.8514071,0.0,0.08198364,0.6565316,0.4035177,1.161345,1.627021,0.4966718
25.0,1.077394,0.3642678,4.98037,0.06225931,12.47261,0.001261904,1.076132,1.924839e-06,0.3642659,0.483464,0.0,0.07400875,0.5926681,0.3642659,1.048376,1.627021,0.4483585
25.0,1.252059,0.3231125,5.783502,0.0745396,12.47261,0.001510806,1.250548,2.304606e-06,0.3231102,0.7248413,0.0,0.06564706,0.5257069,0.3231102,0.9299279,1.627021,0.3977018
25.0,1.79471,0.6475335,4.483284,0.03392645,12.47261,0.0006876373,1.794022,1.04885e-06,0.6475325,0.7404738,0.0,0.1315607,1.053549,0.6475325,1.863632,1.627021,0.7970186
25.0,0.9263434,0.2996857,4.012997,0.04897531,12.47261,0.0009926566,0.9253507,1.514146e-06,0.2996842,0.4377584,0.0,0.06088754,0.4875923,0.2996842,0.8625066,1.627021,0.3688678
25.0,1.66287,0.6513198,4.617147,0.03863962,12.47261,0.0007831677,1.662087,1.194592e-06,0.6513186,0.602378,0.0,0.1323299,1.059709,0.6513186,1.874529,1.627021,0.8016789
