Var,R2,RMSE,modelSimulation
Vol(aq),0.9916960396213931,7.80917528510131e-06,rfModel_simulation
pH,0.9925003003049554,0.005907008167556925,rfModel_simulation
nCa(aq),0.9867593280861532,7.5555821393891e-09,rfModel_simulation
nCa(s),0.999999939287084,1.500686529166614e-08,rfModel_simulation
nSi(aq),0.9797606624376066,2.8555957336386747e-10,rfModel_simulation
nSi(s_reac),0.9999999847106003,3.145743526667461e-10,rfModel_simulation
nPortlandite,0.9956267041200157,0.0006474029111502159,rfModel_simulation
nAmor-Sl,0.972527133028444,0.0001957456193148547,rfModel_simulation
mCSHQ,0.9982906100681573,1.5047741786092686e-06,rfModel_simulation
nCa(CSHQ),0.9999997703044289,1.5006829928933653e-08,rfModel_simulation
nSi(CSHQ),0.9999999851777126,3.145743471300833e-10,rfModel_simulation
nH2O(CSHQ),0.9981173201634276,0.00035100041935339524,rfModel_simulation
C/S(CSHQ),0.9923008249185886,0.001000520481447252,rfModel_simulation
nGelPW(CSH),0.9991641982695378,3.089246910782279e-05,rfModel_simulation
Vol(aq),0.9895298979947594,9.846249028650869e-06,lgbModel_simulation
pH,0.9852739663277675,0.011598704576807534,lgbModel_simulation
nCa(aq),0.982106064074023,1.0210894399120048e-08,lgbModel_simulation
nCa(s),0.999999939287084,1.500686529166614e-08,lgbModel_simulation
nSi(aq),0.9764699749859671,3.3198833131442496e-10,lgbModel_simulation
nSi(s_reac),0.9999999847106003,3.145743526667461e-10,lgbModel_simulation
nPortlandite,0.9946832759827222,0.0007870637388889223,lgbModel_simulation
nAmor-Sl,0.8568287734025173,0.0010201025050427897,lgbModel_simulation
mCSHQ,0.9923950189116331,6.6946569401228025e-06,lgbModel_simulation
nCa(CSHQ),0.9999997703044289,1.5006829928933653e-08,lgbModel_simulation
nSi(CSHQ),0.9999999851777126,3.145743471300833e-10,lgbModel_simulation
nH2O(CSHQ),0.9921551815218781,0.001462561250236344,lgbModel_simulation
C/S(CSHQ),0.9818196074641701,0.0023625719509568714,lgbModel_simulation
nGelPW(CSH),0.9991641982695378,3.089246910782279e-05,lgbModel_simulation
Vol(aq),0.9853863124428389,1.3742942221831681e-05,gbModel_simulation
pH,0.9846518457211627,0.012088707064086891,gbModel_simulation
nCa(aq),0.978474699347076,1.2283075830021277e-08,gbModel_simulation
nCa(s),0.999999939287084,1.500686529166614e-08,gbModel_simulation
nSi(aq),0.9789363113851997,2.971904547650836e-10,gbModel_simulation
nSi(s_reac),0.9999999847106003,3.145743526667461e-10,gbModel_simulation
nPortlandite,0.9938785710768724,0.0009061886078575245,gbModel_simulation
nAmor-Sl,0.6820251772050162,0.002265587303974408,gbModel_simulation
mCSHQ,0.989322169234566,9.399683313955485e-06,gbModel_simulation
nCa(CSHQ),0.9999997703044289,1.5006829928933653e-08,gbModel_simulation
nSi(CSHQ),0.9999999851777126,3.145743471300833e-10,gbModel_simulation
nH2O(CSHQ),0.9885698859074478,0.0021309915588447687,gbModel_simulation
C/S(CSHQ),0.9737898577723205,0.0034060511474472976,gbModel_simulation
nGelPW(CSH),0.9991641982695378,3.089246910782279e-05,gbModel_simulation
Vol(aq),0.9973951221027232,2.4496682508898698e-06,GPyModel_simulation
pH,0.9978496413239135,0.0016936926516154913,GPyModel_simulation
nCa(aq),0.997531314886429,1.4087165117629976e-09,GPyModel_simulation
nCa(s),0.999999939287084,1.500686529166614e-08,GPyModel_simulation
nSi(aq),0.9579139657144908,5.937975962947413e-10,GPyModel_simulation
nSi(s_reac),0.9999999847106003,3.145743526667461e-10,GPyModel_simulation
nPortlandite,0.9991214606832457,0.00013005498069083667,GPyModel_simulation
nAmor-Sl,0.9857042598984219,0.0001018578986548741,GPyModel_simulation
mCSHQ,0.9990333891111027,8.509065598668007e-07,GPyModel_simulation
nCa(CSHQ),0.9999997703044289,1.5006829928933653e-08,GPyModel_simulation
nSi(CSHQ),0.9999999851777126,3.145743471300833e-10,GPyModel_simulation
nH2O(CSHQ),0.9988781094274483,0.00020916145899305813,GPyModel_simulation
C/S(CSHQ),0.9988431058298602,0.00015034030267558962,GPyModel_simulation
nGelPW(CSH),0.9991641982695378,3.089246910782279e-05,GPyModel_simulation
