Var,R2,RMSE,modelSimulation
Vol(aq),0.9852753692880165,1.5090068014592847e-05,rfModel_simulation
pH,0.9737823505531935,0.021223280582390924,rfModel_simulation
nCa(aq),0.9713143352252883,1.6510633365158395e-08,rfModel_simulation
nCa(s),0.9999999216636777,1.8521095281295186e-08,rfModel_simulation
nSi(aq),0.9454412316281715,1.0825154584570947e-09,rfModel_simulation
nSi(s_reac),0.9999999539276723,9.817474154171838e-10,rfModel_simulation
nPortlandite,0.9751023107766947,0.0034570051018109737,rfModel_simulation
nAmor-Sl,0.9395175290527062,0.0005363642437470617,rfModel_simulation
mCSHQ,0.993787176072306,6.185207561213222e-06,rfModel_simulation
nCa(CSHQ),0.9999997497637931,1.8521062940495033e-08,rfModel_simulation
nSi(CSHQ),0.9999999566088016,9.817474591368986e-10,rfModel_simulation
nH2O(CSHQ),0.9952791293367304,0.0009974441047074355,rfModel_simulation
C/S(CSHQ),0.9751039018901695,0.0032181717521231716,rfModel_simulation
nGelPW(CSH),0.9994523422669681,2.2987659308947117e-05,rfModel_simulation
Vol(aq),0.9836026184131215,1.680433338174359e-05,lgbModel_simulation
pH,0.9505147491783451,0.040058486746068725,lgbModel_simulation
nCa(aq),0.9697364561058409,1.7418814641079238e-08,lgbModel_simulation
nCa(s),0.9999999216636777,1.8521095281295186e-08,lgbModel_simulation
nSi(aq),0.927124740413822,1.445937974689426e-09,lgbModel_simulation
nSi(s_reac),0.9999999539276723,9.817474154171838e-10,lgbModel_simulation
nPortlandite,0.9760459164139722,0.0033259869389241003,lgbModel_simulation
nAmor-Sl,0.8454752376774317,0.0013703401330207616,lgbModel_simulation
mCSHQ,0.9927680752253794,7.199778445147668e-06,lgbModel_simulation
nCa(CSHQ),0.9999997497637931,1.8521062940495033e-08,lgbModel_simulation
nSi(CSHQ),0.9999999566088016,9.817474591368986e-10,lgbModel_simulation
nH2O(CSHQ),0.9930595796288055,0.0014663992888643805,lgbModel_simulation
C/S(CSHQ),0.9707890324940776,0.003775929467542872,lgbModel_simulation
nGelPW(CSH),0.9994523422669681,2.2987659308947117e-05,lgbModel_simulation
Vol(aq),0.9751318784376269,2.5485300997462073e-05,gbModel_simulation
pH,0.9572245274017096,0.034626897382231694,gbModel_simulation
nCa(aq),0.9591684960675104,2.350142471760563e-08,gbModel_simulation
nCa(s),0.9999999216636777,1.8521095281295186e-08,gbModel_simulation
nSi(aq),0.9410683441899961,1.1692791151741323e-09,gbModel_simulation
nSi(s_reac),0.9999999539276723,9.817474154171838e-10,gbModel_simulation
nPortlandite,0.9790120872571442,0.002914138769171447,gbModel_simulation
nAmor-Sl,0.6870533168988158,0.0027752406339514577,gbModel_simulation
mCSHQ,0.9908048137651456,9.154313093127505e-06,gbModel_simulation
nCa(CSHQ),0.9999997497637931,1.8521062940495033e-08,gbModel_simulation
nSi(CSHQ),0.9999999566088016,9.817474591368986e-10,gbModel_simulation
nH2O(CSHQ),0.9917231112716984,0.0017487735750942807,gbModel_simulation
C/S(CSHQ),0.9521962078226602,0.006179314242368588,gbModel_simulation
nGelPW(CSH),0.9994523422669681,2.2987659308947117e-05,gbModel_simulation
Vol(aq),0.9906210083546486,9.611760362958984e-06,GPyModel_simulation
pH,0.993750634630473,0.005058883519228118,GPyModel_simulation
nCa(aq),0.9923065225027282,4.42814162607559e-09,GPyModel_simulation
nCa(s),0.9999999216636777,1.8521095281295186e-08,GPyModel_simulation
nSi(aq),0.922854869774828,1.53065764689357e-09,GPyModel_simulation
nSi(s_reac),0.9999999539276723,9.817474154171838e-10,GPyModel_simulation
nPortlandite,0.9771590536052371,0.0031714295856410347,GPyModel_simulation
nAmor-Sl,0.964001232946533,0.0003192404537057601,GPyModel_simulation
mCSHQ,0.9957939874537657,4.187316573959645e-06,GPyModel_simulation
nCa(CSHQ),0.9999997497637931,1.8521062940495033e-08,GPyModel_simulation
nSi(CSHQ),0.9999999566088016,9.817474591368986e-10,GPyModel_simulation
nH2O(CSHQ),0.9967193424567176,0.0006931502173043287,GPyModel_simulation
C/S(CSHQ),0.9965423901027637,0.0004469448365787789,GPyModel_simulation
nGelPW(CSH),0.9994523422669681,2.2987659308947117e-05,GPyModel_simulation
