T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.1527244,0.6933485,5.041543,0.08489534,9.793655,8.90889e-05,0.1526353,0.0003345145,0.693014,0.0,0.4668532,0.02832737,0.1526353,0.2261608,0.3430012,0.6748973,0.1171909
25.0,0.1345315,0.5028421,2.803312,0.045191,9.793654,4.741807e-05,0.1344841,0.0001780566,0.502664,0.0,0.303398,0.02495871,0.1344841,0.199266,0.3022119,0.6748972,0.1032546
25.0,0.1773821,0.4587106,4.85065,0.08044483,9.793657,8.443371e-05,0.1772977,0.0003170026,0.4583936,0.0,0.1956904,0.03290443,0.1772977,0.2627032,0.3984223,0.6748972,0.1361262
25.0,0.3581618,0.6424227,3.380483,0.0465395,9.793656,4.884174e-05,0.358113,0.0001833976,0.6422393,0.0,0.1116208,0.06646168,0.358113,0.5306185,0.8047494,0.6748973,0.2749532
25.0,0.1149703,0.6156373,8.323656,0.1457335,9.793655,0.0001529326,0.1148174,0.0005742409,0.6150631,0.0,0.4449374,0.02130879,0.1148174,0.1701257,0.2580169,0.6748974,0.08815487
25.0,0.2574329,0.6100991,3.37386,0.05050994,9.793658,5.301554e-05,0.2573799,0.0001990401,0.6099001,0.0,0.2285385,0.04776678,0.2573799,0.3813616,0.5783826,0.6748972,0.197612
25.0,0.3163004,0.5167616,7.625444,0.1249424,9.793655,0.0001311143,0.3161693,0.0004922599,0.5162693,0.0,0.0477991,0.05867742,0.3161693,0.4684702,0.7104938,0.6748973,0.2427495
25.0,0.2044253,0.4983457,6.447976,0.1082092,9.793655,0.0001135545,0.2043117,0.0004263838,0.4979193,0.0,0.1951892,0.03791793,0.2043117,0.3027301,0.4591282,0.6748973,0.1568672
25.0,0.1582952,0.2954951,3.764618,0.06159611,9.793653,6.46289e-05,0.1582306,0.0002426908,0.2952524,0.0,0.06080105,0.02936579,0.1582306,0.2344514,0.3555748,0.6748972,0.1214868
25.0,0.2145076,0.6651877,7.409222,0.1251687,9.793655,0.0001313483,0.2143763,0.0004931947,0.6646945,0.0,0.3470517,0.03978579,0.2143763,0.3176428,0.4817451,0.6748973,0.1645945
