,group,var,modelType,R2_mean,R2_std,RMSE_mean,RMSE_std
0,group1,Vol(aq),rfModel,0.9920615349260362,0.0032367277504380186,-0.0026163699763919867,0.0004521827212072551
1,group1,Vol(aq),lgbModel,0.9954568535202892,0.0009093752816285361,-0.002037300104505123,0.00019932300428802523
2,group1,Vol(aq),gbModel,0.9938072267410071,0.0021169689438060267,-0.002341124201702017,0.000351017010900896
3,group1,Vol(aq),GPyModel,0.9999999999123987,2.3571707924615583e-10,-1.6450684549341922e-07,2.3150026173873052e-07
4,group1,pH,CONST,0.0,0.0,0.0,0.0
5,group1,nCa(aq),rfModel,0.9922001909693652,0.00313700083987206,-5.2616254129879554e-05,9.03955658933794e-06
6,group1,nCa(aq),lgbModel,0.9954801301688152,0.0010384272750183514,-4.110774335257781e-05,4.392006018610169e-06
7,group1,nCa(aq),gbModel,0.9937905316434978,0.0020677055978345995,-4.758508554727086e-05,7.2931151556235074e-06
8,group1,nCa(aq),GPyModel,0.99999996694429,3.222597326619659e-08,-9.835368478399199e-08,4.848850426731288e-08
9,group1,nCa(s),linear,0.9999999999993664,2.693414352010733e-13,-2.627588312728137e-07,3.9254865516803974e-08
10,group1,nSi(aq),rfModel,0.9920008393147643,0.003137521539258174,-8.143961368388946e-08,1.3373595791441954e-08
11,group1,nSi(aq),lgbModel,0.9954598073404402,0.001003233524240231,-6.284536844857866e-08,6.1731318796762434e-09
12,group1,nSi(aq),gbModel,0.9934737537988838,0.0022763842457749423,-7.435567258382444e-08,1.188315103664525e-08
13,group1,nSi(aq),GPyModel,0.9999999849200144,7.787152215794801e-09,-1.0727042135056015e-10,2.434770351899096e-11
14,group1,nSi(s_reac),linear,0.9999999999999544,1.066172552882595e-14,-2.8353333981995497e-08,1.9613394256768534e-09
15,group1,nPortlandite,rfModel,0.9883014027235362,0.003571431015649881,-0.036651982606643395,0.0046068834192908035
16,group1,nPortlandite,lgbModel,0.9860911545682336,0.005148074336652544,-0.03979327301092174,0.0063722029302755116
17,group1,nPortlandite,gbModel,0.9776662834086801,0.009823112863878191,-0.04997764458620209,0.008851298447048942
18,group1,nPortlandite,GPyModel,0.9999999999212147,1.9300767268094967e-10,-1.77457766028197e-06,2.157751708710799e-06
19,group1,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
20,group1,mCSHQ,linear,0.9999999999996808,1.4631506205830795e-13,-1.5047955147014326e-08,2.9832846421309513e-09
21,group1,nCa(CSHQ),linear,0.9999999999997415,1.2497050790289895e-13,-1.0957002223641025e-07,3.379435772525704e-08
22,group1,nSi(CSHQ),linear,0.9999999999999544,1.066172552882595e-14,-2.8353333981995497e-08,1.9613394256768534e-09
23,group1,nH2O(CSHQ),linear,0.9999999999996186,1.2623972987796563e-13,-2.3345867288321105e-07,2.80845418144708e-08
24,group1,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
25,group1,nGelPW(CSH),linear,0.9999999999999586,1.053624462924181e-14,-3.328976724992327e-08,3.8456232704094185e-09
26,group2,Vol(aq),rfModel,0.982599294827919,0.005625252619072513,-0.003468760881544051,0.0008058041581467739
27,group2,Vol(aq),lgbModel,0.9743107862446179,0.009432912920909572,-0.004191843775948608,0.0009697917446712618
28,group2,Vol(aq),gbModel,0.9501810589153411,0.02164960761239094,-0.005776298643189557,0.0015480535781246484
29,group2,Vol(aq),GPyModel,0.9999983848152058,1.468350707106391e-06,-3.149220425083503e-05,1.5899766525191968e-05
30,group2,pH,rfModel,0.8280617250644259,0.09846966320241278,-0.22892082193927005,0.1154421402379556
31,group2,pH,lgbModel,0.6220992971840764,0.1434137145897196,-0.319300155683771,0.09428595259892114
32,group2,pH,gbModel,0.7104797290513527,0.16471980971506583,-0.28627309118175837,0.13288620297631076
33,group2,pH,GPyModel,0.9636899647897768,0.042941516577556384,-0.09553672120459875,0.07568080542484192
34,group2,nCa(aq),rfModel,0.7295437082339484,0.09378104223921878,-0.00022856521372461992,7.97476767171472e-05
35,group2,nCa(aq),lgbModel,0.672387244046791,0.13961055666451475,-0.0002414591612863619,4.995974393199281e-05
36,group2,nCa(aq),gbModel,0.6572653115742929,0.1587178776313652,-0.00024423190975933197,6.121035935735592e-05
37,group2,nCa(aq),GPyModel,0.9851758267511705,0.010198011262719828,-5.248850584302043e-05,2.8623350778707798e-05
38,group2,nCa(s),linear,0.9999983667425865,1.5079985938252867e-06,-0.00023752677886304123,5.835035726249967e-05
39,group2,nSi(aq),rfModel,0.11131618630891027,0.8391376964499657,-3.443500629293422e-05,2.3737971042091608e-05
40,group2,nSi(aq),lgbModel,-0.6293539429585906,1.63828747846655,-4.1693775520462446e-05,2.086442095932636e-05
41,group2,nSi(aq),gbModel,0.4916314302925121,0.23412094775375514,-3.06683761197503e-05,2.617600768257561e-05
42,group2,nSi(aq),GPyModel,-0.004708021157788078,0.5712777372940132,-2.9272445906941752e-05,2.555079999818031e-05
43,group2,nSi(s_reac),linear,0.9999999036278988,1.6027591675056856e-07,-3.2811761247348776e-05,2.1677448476583828e-05
44,group2,nPortlandite,CONST,0.0,0.0,0.0,0.0
45,group2,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
46,group2,mCSHQ,rfModel,0.9920189895328321,0.0038493810453283685,-0.00208931456997626,0.0004334876921056164
47,group2,mCSHQ,lgbModel,0.9654312356570239,0.016804671065013852,-0.0044823749565497,0.001361241606408558
48,group2,mCSHQ,gbModel,0.9518692609111005,0.017898210795354422,-0.005399745150885509,0.0014235091525454564
49,group2,mCSHQ,GPyModel,0.9999998530509677,1.8426212494595108e-07,-7.741510140038596e-06,4.899213186321556e-06
50,group2,nCa(CSHQ),linear,0.9999983667425865,1.5079985938252867e-06,-0.00023752677886304123,5.835035726249967e-05
51,group2,nSi(CSHQ),linear,0.9999999036278988,1.6027591675056856e-07,-3.2811761247348776e-05,2.1677448476583828e-05
52,group2,nH2O(CSHQ),rfModel,0.9907225317910543,0.005268550347721563,-0.031155894663180316,0.007521613718922052
53,group2,nH2O(CSHQ),lgbModel,0.9622743526712062,0.019744540477204024,-0.06655751793087661,0.021732197470014272
54,group2,nH2O(CSHQ),gbModel,0.9478085002411014,0.018863719961501817,-0.08074437633544992,0.021924442588762527
55,group2,nH2O(CSHQ),GPyModel,0.9999982338398932,2.9595386624419916e-06,-0.000365562809964996,0.0002854514393340536
56,group2,C/S(CSHQ),rfModel,0.8898122161133621,0.03560125657256723,-0.08784381721009159,0.016668777387186265
57,group2,C/S(CSHQ),lgbModel,0.7844331847237651,0.08783461550529086,-0.1199661799429095,0.024051524084036352
58,group2,C/S(CSHQ),gbModel,0.7396431839147082,0.11213398660077857,-0.1328882505799708,0.03446661975187296
59,group2,C/S(CSHQ),GPyModel,0.9999919428439188,1.545514722808152e-05,-0.0005724856819265729,0.0003953744960386976
60,group2,nGelPW(CSH),linear,0.993948398003007,0.0028891471911880002,-0.011116317417889049,0.0020431405871412745
61,group3,Vol(aq),linear,0.9999999999996032,4.4433878585689897e-13,-1.5464797203625008e-08,6.302930534460053e-09
62,group3,pH,CONST,0.0,0.0,0.0,0.0
63,group3,nCa(aq),linear,0.9999998311248037,1.1205863224265939e-07,-1.1274523883027753e-08,3.7978721068962735e-09
64,group3,nCa(s),linear,0.9999999999997927,1.2913602433081149e-13,-3.192840637373129e-08,6.628347966604146e-09
65,group3,nSi(aq),linear,0.9999999109714253,5.028969264190264e-08,-3.041433108351469e-08,1.0038286007379373e-08
66,group3,nSi(s_reac),linear,0.9999999999998055,1.22568556552208e-13,-4.2946085622215656e-08,1.1556940045687744e-08
67,group3,nPortlandite,CONST,0.0,0.0,0.0,0.0
68,group3,nAmor-Sl,rfModel,0.8859894288552776,0.07790198597576521,-0.03872063469593289,0.013341673175568641
69,group3,nAmor-Sl,lgbModel,0.16484530245139348,0.5680708779630881,-0.09871263752691103,0.025513852672069768
70,group3,nAmor-Sl,gbModel,0.061982286607368445,0.7238463664333781,-0.10691752755975555,0.028377790039140992
71,group3,nAmor-Sl,GPyModel,0.9999982817904158,3.498506029778082e-06,-0.00011230107223191658,0.0001222133826459443
72,group3,mCSHQ,linear,0.9999999999999177,5.0450395978260597e-14,-3.755693054828968e-09,9.750052485547511e-10
73,group3,nCa(CSHQ),linear,0.9999999999997927,1.2913602433081149e-13,-3.192840637373129e-08,6.628347966604146e-09
74,group3,nSi(CSHQ),linear,0.999999999999855,1.2783499572794722e-13,-4.028987956744452e-08,1.609983206007024e-08
75,group3,nH2O(CSHQ),linear,0.9999999999998336,2.2122852908762128e-13,-6.805620981358899e-08,5.830262830699009e-08
76,group3,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
77,group3,nGelPW(CSH),linear,0.9999999999997785,1.5210549357033752e-13,-2.5974517495910594e-08,6.73854430786875e-09
