testDataY,predDataY,modelType,var,group,modelSimulation
0.09585014,0.09423183909999999,rfModel,Vol(aq),group1,rfModel_simulation
0.09650942,0.09550904280000007,rfModel,Vol(aq),group1,rfModel_simulation
0.1032044,0.10030202039999989,rfModel,Vol(aq),group1,rfModel_simulation
0.03579055,0.035790223999999954,rfModel,Vol(aq),group1,rfModel_simulation
0.07737347,0.07729543560000006,rfModel,Vol(aq),group1,rfModel_simulation
0.0328049,0.03158524570000002,rfModel,Vol(aq),group1,rfModel_simulation
0.105325,0.10555850570000008,rfModel,Vol(aq),group1,rfModel_simulation
0.06507786,0.06391783440000004,rfModel,Vol(aq),group1,rfModel_simulation
0.09512412,0.09431681990000003,rfModel,Vol(aq),group1,rfModel_simulation
0.05958839,0.059675163000000024,rfModel,Vol(aq),group1,rfModel_simulation
0.05182613,0.05377199160000002,rfModel,Vol(aq),group1,rfModel_simulation
0.05227811,0.0515547834,rfModel,Vol(aq),group1,rfModel_simulation
0.03928353,0.037874052899999996,rfModel,Vol(aq),group1,rfModel_simulation
0.05628196,0.05552983329999999,rfModel,Vol(aq),group1,rfModel_simulation
0.07106879,0.07146936449999997,rfModel,Vol(aq),group1,rfModel_simulation
0.01180962,0.012841222809999992,rfModel,Vol(aq),group1,rfModel_simulation
0.1090951,0.10865173000000002,rfModel,Vol(aq),group1,rfModel_simulation
0.05687286,0.056461796999999994,rfModel,Vol(aq),group1,rfModel_simulation
0.02392521,0.023433484300000015,rfModel,Vol(aq),group1,rfModel_simulation
0.07011855,0.0696086085,rfModel,Vol(aq),group1,rfModel_simulation
0.02767306,0.02756172460000001,rfModel,Vol(aq),group1,rfModel_simulation
0.09454134,0.0947595732,rfModel,Vol(aq),group1,rfModel_simulation
0.03125632,0.030247821400000006,rfModel,Vol(aq),group1,rfModel_simulation
0.01098865,0.011695272719999997,rfModel,Vol(aq),group1,rfModel_simulation
0.1106915,0.10953684699999991,rfModel,Vol(aq),group1,rfModel_simulation
0.08329515,0.08239419010000004,rfModel,Vol(aq),group1,rfModel_simulation
0.09459938,0.09199548739999999,rfModel,Vol(aq),group1,rfModel_simulation
0.06725325,0.06808993229999999,rfModel,Vol(aq),group1,rfModel_simulation
0.02044415,0.020377213299999995,rfModel,Vol(aq),group1,rfModel_simulation
0.04112534,0.03928445190000006,rfModel,Vol(aq),group1,rfModel_simulation
0.01590536,0.016572324600000004,rfModel,Vol(aq),group1,rfModel_simulation
0.08184167,0.08335634200000007,rfModel,Vol(aq),group1,rfModel_simulation
0.08888898,0.08970573069999999,rfModel,Vol(aq),group1,rfModel_simulation
0.05256675,0.05145297209999997,rfModel,Vol(aq),group1,rfModel_simulation
0.09514983,0.09308833360000002,rfModel,Vol(aq),group1,rfModel_simulation
0.01287995,0.013910604399999993,rfModel,Vol(aq),group1,rfModel_simulation
0.1230357,0.12118756399999997,rfModel,Vol(aq),group1,rfModel_simulation
0.09508912,0.09394749809999998,rfModel,Vol(aq),group1,rfModel_simulation
0.09178633,0.09055050969999998,rfModel,Vol(aq),group1,rfModel_simulation
0.1117526,0.11105769799999994,rfModel,Vol(aq),group1,rfModel_simulation
0.02749874,0.02670579080000002,rfModel,Vol(aq),group1,rfModel_simulation
0.03166803,0.030955558000000008,rfModel,Vol(aq),group1,rfModel_simulation
0.02546581,0.025672406300000016,rfModel,Vol(aq),group1,rfModel_simulation
0.08163349,0.08147003119999993,rfModel,Vol(aq),group1,rfModel_simulation
0.06150692,0.0606656693,rfModel,Vol(aq),group1,rfModel_simulation
0.04803805,0.048381811000000025,rfModel,Vol(aq),group1,rfModel_simulation
0.08179179,0.08229499659999999,rfModel,Vol(aq),group1,rfModel_simulation
0.0783911,0.07854591979999999,rfModel,Vol(aq),group1,rfModel_simulation
0.09019723,0.0901714114,rfModel,Vol(aq),group1,rfModel_simulation
0.0346809,0.034167799700000015,rfModel,Vol(aq),group1,rfModel_simulation
0.1067663,0.10460401259999993,rfModel,Vol(aq),group1,rfModel_simulation
0.09052739,0.08953290369999994,rfModel,Vol(aq),group1,rfModel_simulation
0.04821123,0.04730175950000002,rfModel,Vol(aq),group1,rfModel_simulation
0.1176535,0.115610857,rfModel,Vol(aq),group1,rfModel_simulation
0.03456088,0.03607569440000001,rfModel,Vol(aq),group1,rfModel_simulation
0.03842913,0.03828183720000002,rfModel,Vol(aq),group1,rfModel_simulation
0.1036786,0.10406231289999993,rfModel,Vol(aq),group1,rfModel_simulation
0.1096304,0.10913526900000005,rfModel,Vol(aq),group1,rfModel_simulation
0.06620287,0.06623458699999993,rfModel,Vol(aq),group1,rfModel_simulation
0.05004163,0.0505375012,rfModel,Vol(aq),group1,rfModel_simulation
0.05428297,0.05357380240000002,rfModel,Vol(aq),group1,rfModel_simulation
0.01897394,0.01770473670000001,rfModel,Vol(aq),group1,rfModel_simulation
0.07578092,0.07521937639999994,rfModel,Vol(aq),group1,rfModel_simulation
0.03309078,0.03365441699999999,rfModel,Vol(aq),group1,rfModel_simulation
0.01659861,0.016555698000000008,rfModel,Vol(aq),group1,rfModel_simulation
0.1038246,0.1029215152,rfModel,Vol(aq),group1,rfModel_simulation
0.09624345,0.09542282860000008,rfModel,Vol(aq),group1,rfModel_simulation
0.06996387,0.06969575139999992,rfModel,Vol(aq),group1,rfModel_simulation
0.07178163,0.07004970479999997,rfModel,Vol(aq),group1,rfModel_simulation
0.08524229,0.08386499819999998,rfModel,Vol(aq),group1,rfModel_simulation
0.08808035,0.08714305010000001,rfModel,Vol(aq),group1,rfModel_simulation
0.1084154,0.10602507259999991,rfModel,Vol(aq),group1,rfModel_simulation
0.02840953,0.029328580000000003,rfModel,Vol(aq),group1,rfModel_simulation
0.03831499,0.03934574350000003,rfModel,Vol(aq),group1,rfModel_simulation
0.1113501,0.10983535299999998,rfModel,Vol(aq),group1,rfModel_simulation
0.1037243,0.10315776419999995,rfModel,Vol(aq),group1,rfModel_simulation
0.02680042,0.027618267100000003,rfModel,Vol(aq),group1,rfModel_simulation
0.07813071,0.0775093571,rfModel,Vol(aq),group1,rfModel_simulation
0.04376608,0.044935386700000024,rfModel,Vol(aq),group1,rfModel_simulation
