T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,1.104376,0.6273007,5.748331,0.06969873,12.47261,0.001412689,1.102963,2.154806e-06,0.6272985,0.08233569,0.0,0.1274497,1.020628,0.6272985,1.805398,1.627021,0.7721136
25.0,1.766933,0.6863845,3.336388,0.01283682,12.47261,0.0002601828,1.766673,3.968681e-07,0.6863841,0.6499118,0.0,0.1394543,1.116761,0.6863841,1.975449,1.62702,0.8448394
25.0,0.8747975,0.2714012,4.28019,0.05537096,12.47261,0.001122288,0.8736752,1.711866e-06,0.2713995,0.4321026,0.0,0.05514087,0.4415726,0.2713995,0.7811019,1.627021,0.3340535
25.0,1.012041,0.2710092,4.069248,0.04909143,12.47261,0.00099501,1.011046,1.517736e-06,0.2710077,0.5701109,0.0,0.05506127,0.4409351,0.2710077,0.7799742,1.627021,0.3335712
25.0,1.516808,0.4148392,5.427499,0.06125603,12.47261,0.001241559,1.515566,1.893814e-06,0.4148373,0.8406176,0.0,0.08428347,0.6749488,0.4148373,1.193923,1.627021,0.5106046
25.0,1.455779,0.5060444,4.356458,0.04095401,12.47261,0.0008300766,1.454949,1.266149e-06,0.5060431,0.6316064,0.0,0.102814,0.8233426,0.5060431,1.456418,1.627021,0.6228658
25.0,0.9173765,0.2957763,5.751418,0.08062231,12.47261,0.001634096,0.9157424,2.492539e-06,0.2957738,0.4345123,0.0,0.06009306,0.4812301,0.2957738,0.8512524,1.627021,0.3640547
25.0,0.8193156,0.4691776,6.13749,0.08544812,12.47261,0.001731906,0.8175837,2.641774e-06,0.469175,0.0542264,0.0,0.09532338,0.7633573,0.469175,1.35031,1.627021,0.5774864
25.0,1.572764,0.4377257,7.245544,0.0925631,12.47261,0.001876115,1.570888,2.861709e-06,0.4377228,0.8587038,0.0,0.08893318,0.7121841,0.4377228,1.259789,1.627021,0.5387734
25.0,1.029176,0.620781,2.966532,0.02096355,12.47261,0.0004248996,1.028751,6.48117e-07,0.6207804,0.01872874,0.0,0.1261254,1.010022,0.6207804,1.786638,1.62702,0.7640907
25.0,1.028375,0.4369725,6.810491,0.09455478,12.47261,0.001916484,1.026459,2.923284e-06,0.4369696,0.3155,0.0,0.08878014,0.7109585,0.4369696,1.257621,1.627021,0.5378462
25.0,0.8414376,0.411226,2.918734,0.02822567,12.47261,0.0005720921,0.8408655,8.72639e-07,0.4112251,0.1717938,0.0,0.08354957,0.6690717,0.4112251,1.183527,1.627021,0.5061585
25.0,0.8188566,0.4149111,5.370342,0.07282745,12.47261,0.001476104,0.8173805,2.25156e-06,0.4149088,0.1423153,0.0,0.08429801,0.6750652,0.4149088,1.194129,1.627021,0.5106927
25.0,1.104928,0.4823186,3.169499,0.02638957,12.47261,0.0005348769,1.104393,8.158701e-07,0.4823178,0.3196522,0.0,0.09799364,0.7847409,0.4823178,1.388136,1.627021,0.5936633
25.0,0.650596,0.3928158,7.308662,0.1113726,12.47261,0.002257357,0.6483386,3.443242e-06,0.3928124,0.009224866,0.0,0.07980861,0.6391138,0.3928124,1.130534,1.627021,0.4834951
25.0,0.8996169,0.5434987,5.876617,0.07760712,12.47261,0.001572981,0.8980439,2.399309e-06,0.5434963,0.01376427,0.0,0.1104234,0.8842796,0.5434963,1.564211,1.627021,0.6689652
25.0,0.7883327,0.3158979,5.908196,0.08532976,12.47261,0.001729507,0.7866032,2.63806e-06,0.3158953,0.2726351,0.0,0.06418118,0.5139681,0.3158953,0.909163,1.627021,0.3888213
25.0,1.046657,0.2098801,4.648608,0.06031093,12.47261,0.001222394,1.045435,1.864592e-06,0.2098782,0.7039584,0.0,0.04264145,0.3414762,0.2098782,0.6040405,1.62702,0.2583297
25.0,0.8485107,0.381696,2.935974,0.0290765,12.47261,0.0005893369,0.8479214,8.989379e-07,0.3816951,0.2268956,0.0,0.07754989,0.6210258,0.3816951,1.098538,1.627021,0.4698114
25.0,1.746687,0.5478851,5.492419,0.05527072,12.47261,0.001120256,1.745567,1.708807e-06,0.5478834,0.8541492,0.0,0.1113148,0.8914175,0.5478834,1.576837,1.627021,0.6743651
25.0,0.4795369,0.2922948,3.419063,0.04648512,12.47261,0.0009421831,0.4785947,1.437127e-06,0.2922934,0.003027413,0.0,0.05938593,0.4755673,0.2922934,0.8412355,1.627021,0.3597708
25.0,1.028802,0.5205755,7.311355,0.101704,12.47261,0.002061388,1.026741,3.144316e-06,0.5205724,0.1797587,0.0,0.1057659,0.8469819,0.5205724,1.498234,1.627021,0.6407492
