,group,var,modelType,R2_mean,R2_std,RMSE_mean,RMSE_std
0,group1,Vol(aq),GPyModel,0.9999999987516384,9.17400471409771e-10,-1.0063819002809219e-06,3.1104748993464217e-07
1,group1,pH,CONST,0.0,0.0,0.0,0.0
2,group1,nCa(aq),GPyModel,0.9999999922742806,3.471285999252594e-09,-5.1585487389789555e-08,1.3884426100216083e-08
3,group1,nCa(s),linear,0.9999999999994291,7.837974836969085e-14,-2.575702998953978e-07,1.3356142358078164e-08
4,group1,nSi(aq),GPyModel,0.9999999951186312,2.5440473579401047e-09,-6.253694427175995e-11,1.5631805137661685e-11
5,group1,nSi(s_reac),linear,0.9999999999999571,2.234280737922546e-15,-2.899321990965172e-08,4.88907243856627e-10
6,group1,nPortlandite,GPyModel,0.9999999988982002,3.786105178151453e-10,-1.1356340743501876e-05,1.977240237120069e-06
7,group1,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
8,group1,mCSHQ,linear,0.9999999999995788,1.4990805866683874e-13,-1.8197594143051545e-08,2.7054043101755295e-09
9,group1,nCa(CSHQ),linear,0.9999999999996259,3.796107776231841e-13,-1.2788028761806174e-07,5.2572136855167924e-08
10,group1,nSi(CSHQ),linear,0.9999999999999571,2.234280737922546e-15,-2.899321990965172e-08,4.88907243856627e-10
11,group1,nH2O(CSHQ),linear,0.9999999999995609,2.401643854389564e-13,-2.5930496762890853e-07,5.837381131545359e-08
12,group1,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
13,group1,nGelPW(CSH),linear,0.9999999999998203,3.1177039163971743e-13,-5.580138414587047e-08,4.5680599578513416e-08
14,group2,Vol(aq),GPyModel,0.9999998805874855,3.5385544468225086e-08,-9.973089675086383e-06,1.5726129382498244e-06
15,group2,pH,GPyModel,0.9963826803080957,0.004619816468992155,-0.02093443073261413,0.01151229022092258
16,group2,nCa(aq),GPyModel,0.9999263616667331,4.371121460910477e-05,-3.647549950708296e-06,1.2635879688081874e-06
17,group2,nCa(s),linear,0.9999985863122915,2.1065173232352318e-07,-0.00024773513770768067,2.044891969207836e-05
18,group2,nSi(aq),GPyModel,0.679656735541503,0.2283950207600221,-2.694315663429969e-05,1.10127316424416e-05
19,group2,nSi(s_reac),linear,0.9999999448128358,4.330335964661868e-08,-3.0478819777127795e-05,1.1964069761305154e-05
20,group2,nPortlandite,GPyModel,-2.9285821096040623,8.730975688864953,-9.313397035206404e-05,8.239954074610052e-05
21,group2,nAmor-Sl,GPyModel,-0.0009708737864077444,0.002912621359223233,-1.017273383833308e-09,1.3000931978735124e-09
22,group2,mCSHQ,GPyModel,0.9999998857994074,1.5173761242263003e-07,-7.436196492766815e-06,4.180300717575506e-06
23,group2,nCa(CSHQ),linear,0.9999983679515398,5.047075244859425e-07,-0.0002635548579994041,3.344837954924671e-05
24,group2,nSi(CSHQ),linear,0.9999999448128358,4.330335964661868e-08,-3.0478819777127795e-05,1.1964069761305154e-05
25,group2,nH2O(CSHQ),GPyModel,0.9999997836929271,2.492768248198621e-07,-0.00014833065684214915,7.518612616041219e-05
26,group2,C/S(CSHQ),GPyModel,0.9999995226765972,7.866716641170579e-07,-0.00014859122860533597,0.00010547776518842642
27,group2,nGelPW(CSH),linear,0.9942392183870945,0.000766931202771455,-0.011517575311208197,0.0004729044051050749
28,group3,Vol(aq),linear,0.999999999999555,1.0627980091931497e-13,-1.9649371735347986e-08,1.693381453542731e-09
29,group3,pH,CONST,0.0,0.0,0.0,0.0
30,group3,nCa(aq),linear,0.999999904196034,2.355069961071895e-08,-9.623150559500434e-09,1.321477583730357e-09
31,group3,nCa(s),linear,0.9999999999998659,2.9501573537005716e-14,-3.1369642179967635e-08,1.691289595951879e-09
32,group3,nSi(aq),linear,0.9999999520693782,1.3589375585571858e-08,-2.5495175899280372e-08,3.978414826796109e-09
33,group3,nSi(s_reac),linear,0.9999999999998982,3.844126982183252e-14,-3.905529359264563e-08,4.631243672943827e-09
34,group3,nPortlandite,CONST,0.0,0.0,0.0,0.0
35,group3,nAmor-Sl,GPyModel,0.9999999887024049,8.44507227446688e-09,-1.20026710486039e-05,5.568602561598179e-06
36,group3,mCSHQ,linear,0.999999999999955,7.509655555160403e-15,-3.379332627597489e-09,1.736454994426123e-10
37,group3,nCa(CSHQ),linear,0.9999999999998659,2.9501573537005716e-14,-3.1369642179967635e-08,1.691289595951879e-09
38,group3,nSi(CSHQ),linear,0.9999999999999207,1.9255953431276585e-14,-3.582238518018776e-08,3.552549126772545e-09
39,group3,nH2O(CSHQ),linear,0.9999999999999284,5.1137925841340715e-14,-4.992956437365051e-08,2.0174205802858182e-08
40,group3,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
41,group3,nGelPW(CSH),linear,0.9999999999998106,3.586085676181334e-14,-2.8722765342403387e-08,2.238491270261839e-09
