,group,var,modelType,R2_mean,R2_std,RMSE_mean,RMSE_std
0,group1,Vol(aq),lgbModel,0.9993379543600949,7.790306482920948e-05,-0.0007675872671182398,4.100566263693398e-05
1,group1,pH,CONST,0.0,0.0,0.0,0.0
2,group1,nCa(aq),lgbModel,0.9993261483185369,7.888911013903393e-05,-1.5695685626600292e-05,7.938686326148524e-07
3,group1,nCa(s),linear,0.9999999999994291,7.837974836969085e-14,-2.575702998953978e-07,1.3356142358078164e-08
4,group1,nSi(aq),lgbModel,0.9993320197983262,7.380632210471969e-05,-2.3842986905772968e-08,1.2229409517903202e-09
5,group1,nSi(s_reac),linear,0.9999999999999571,2.234280737922546e-15,-2.899321990965172e-08,4.88907243856627e-10
6,group1,nPortlandite,lgbModel,0.9990378895648684,9.344389746452536e-05,-0.010731079012190553,0.0005427003018583242
7,group1,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
8,group1,mCSHQ,linear,0.9999999999995788,1.4990805866683874e-13,-1.8197594143051545e-08,2.7054043101755295e-09
9,group1,nCa(CSHQ),linear,0.9999999999996259,3.796107776231841e-13,-1.2788028761806174e-07,5.2572136855167924e-08
10,group1,nSi(CSHQ),linear,0.9999999999999571,2.234280737922546e-15,-2.899321990965172e-08,4.88907243856627e-10
11,group1,nH2O(CSHQ),linear,0.9999999999995609,2.401643854389564e-13,-2.5930496762890853e-07,5.837381131545359e-08
12,group1,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
13,group1,nGelPW(CSH),linear,0.9999999999998203,3.1177039163971743e-13,-5.580138414587047e-08,4.5680599578513416e-08
14,group2,Vol(aq),lgbModel,0.9988831327573653,0.0002981912243275709,-0.0009670719669333082,0.00012775566618228028
15,group2,pH,lgbModel,0.9555050075875302,0.015171063413049472,-0.10390084015858643,0.021927341131746932
16,group2,nCa(aq),lgbModel,0.9556172346485043,0.016570543136198983,-9.235894645053073e-05,1.9372004645279075e-05
17,group2,nCa(s),linear,0.9999985863122915,2.1065173232352318e-07,-0.00024773513770768067,2.044891969207836e-05
18,group2,nSi(aq),lgbModel,0.6471921634347684,0.1158870259318432,-2.3325890997363324e-05,8.883537538174874e-06
19,group2,nSi(s_reac),linear,0.9999999448128358,4.330335964661868e-08,-3.0478819777127795e-05,1.1964069761305154e-05
20,group2,nPortlandite,lgbModel,-17.739435334806284,53.15746348355699,-4.615089792143083e-05,5.7408990913714964e-05
21,group2,nAmor-Sl,lgbModel,-0.0009708737864077444,0.002912621359223233,-6.650649989952106e-10,8.52321701510274e-10
22,group2,mCSHQ,lgbModel,0.9988620594231674,0.00045701384321631094,-0.0008466302126589424,0.00018361222267106915
23,group2,nCa(CSHQ),linear,0.9999983679515398,5.047075244859425e-07,-0.0002635548579994041,3.344837954924671e-05
24,group2,nSi(CSHQ),linear,0.9999999448128358,4.330335964661868e-08,-3.0478819777127795e-05,1.1964069761305154e-05
25,group2,nH2O(CSHQ),lgbModel,0.9988220412208253,0.000679415183475974,-0.0120820641062529,0.0036212648283330947
26,group2,C/S(CSHQ),lgbModel,0.9899124765990488,0.0031011116860026077,-0.026448182999234016,0.004311061757659545
27,group2,nGelPW(CSH),linear,0.9942392183870945,0.000766931202771455,-0.011517575311208197,0.0004729044051050749
28,group3,Vol(aq),linear,0.999999999999555,1.0627980091931497e-13,-1.9649371735347986e-08,1.693381453542731e-09
29,group3,pH,CONST,0.0,0.0,0.0,0.0
30,group3,nCa(aq),linear,0.999999904196034,2.355069961071895e-08,-9.623150559500434e-09,1.321477583730357e-09
31,group3,nCa(s),linear,0.9999999999998659,2.9501573537005716e-14,-3.1369642179967635e-08,1.691289595951879e-09
32,group3,nSi(aq),linear,0.9999999520693782,1.3589375585571858e-08,-2.5495175899280372e-08,3.978414826796109e-09
33,group3,nSi(s_reac),linear,0.9999999999998982,3.844126982183252e-14,-3.905529359264563e-08,4.631243672943827e-09
34,group3,nPortlandite,CONST,0.0,0.0,0.0,0.0
35,group3,nAmor-Sl,lgbModel,0.9851641056178799,0.006320497585245655,-0.01427033319912184,0.0026027898254753694
36,group3,mCSHQ,linear,0.999999999999955,7.509655555160403e-15,-3.379332627597489e-09,1.736454994426123e-10
37,group3,nCa(CSHQ),linear,0.9999999999998659,2.9501573537005716e-14,-3.1369642179967635e-08,1.691289595951879e-09
38,group3,nSi(CSHQ),linear,0.9999999999999207,1.9255953431276585e-14,-3.582238518018776e-08,3.552549126772545e-09
39,group3,nH2O(CSHQ),linear,0.9999999999999284,5.1137925841340715e-14,-4.992956437365051e-08,2.0174205802858182e-08
40,group3,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
41,group3,nGelPW(CSH),linear,0.9999999999998106,3.586085676181334e-14,-2.8722765342403387e-08,2.238491270261839e-09
