,group,var,modelType,R2_mean,R2_std,RMSE_mean,RMSE_std
0,group1,Vol(aq),rfModel,0.998645502092681,0.0001553306445042847,-0.0010979299283077816,5.715632092371878e-05
1,group1,pH,CONST,0.0,0.0,0.0,0.0
2,group1,nCa(aq),rfModel,0.9986498421833861,0.00015519782060457676,-2.22178786539767e-05,1.1604854900012551e-06
3,group1,nCa(s),linear,0.9999999999994291,7.837974836969085e-14,-2.575702998953978e-07,1.3356142358078164e-08
4,group1,nSi(aq),rfModel,0.9986256232330154,0.00016013482840576356,-3.418987480282122e-08,1.808140664414962e-09
5,group1,nSi(s_reac),linear,0.9999999999999571,2.234280737922546e-15,-2.899321990965172e-08,4.88907243856627e-10
6,group1,nPortlandite,rfModel,0.9992259825683233,8.849978960609171e-05,-0.009625400664412405,0.000654557057118086
7,group1,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
8,group1,mCSHQ,linear,0.9999999999995788,1.4990805866683874e-13,-1.8197594143051545e-08,2.7054043101755295e-09
9,group1,nCa(CSHQ),linear,0.9999999999996259,3.796107776231841e-13,-1.2788028761806174e-07,5.2572136855167924e-08
10,group1,nSi(CSHQ),linear,0.9999999999999571,2.234280737922546e-15,-2.899321990965172e-08,4.88907243856627e-10
11,group1,nH2O(CSHQ),linear,0.9999999999995609,2.401643854389564e-13,-2.5930496762890853e-07,5.837381131545359e-08
12,group1,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
13,group1,nGelPW(CSH),linear,0.9999999999998203,3.1177039163971743e-13,-5.580138414587047e-08,4.5680599578513416e-08
14,group2,Vol(aq),rfModel,0.9982734379943837,0.0003768295752923787,-0.0012057631867284859,0.00013274643613095613
15,group2,pH,rfModel,0.9663069800162886,0.010987448185237525,-0.09034395440471357,0.01976520348924065
16,group2,nCa(aq),rfModel,0.9352859036703112,0.02343234859665956,-0.00011079038022680535,2.2848308716109705e-05
17,group2,nCa(s),linear,0.9999985863122915,2.1065173232352318e-07,-0.00024773513770768067,2.044891969207836e-05
18,group2,nSi(aq),rfModel,0.7502417058767945,0.1297680207974121,-2.0500845773375597e-05,1.1413730151350104e-05
19,group2,nSi(s_reac),linear,0.9999999448128358,4.330335964661868e-08,-3.0478819777127795e-05,1.1964069761305154e-05
20,group2,nPortlandite,rfModel,-1.147962611825104,3.4341578704563775,-4.2449670614140485e-05,6.147593145968123e-05
21,group2,nAmor-Sl,rfModel,-0.0009708737864077444,0.002912621359223233,-3.501702833121996e-10,9.356550480713061e-10
22,group2,mCSHQ,rfModel,0.9994313395352277,0.00011529517683226588,-0.0006025404824865158,4.852525159853669e-05
23,group2,nCa(CSHQ),linear,0.9999983679515398,5.047075244859425e-07,-0.0002635548579994041,3.344837954924671e-05
24,group2,nSi(CSHQ),linear,0.9999999448128358,4.330335964661868e-08,-3.0478819777127795e-05,1.1964069761305154e-05
25,group2,nH2O(CSHQ),rfModel,0.9994518576068305,0.00012508528747638743,-0.008374551822559258,0.0007906868658382428
26,group2,C/S(CSHQ),rfModel,0.9916462352516723,0.002018482966040431,-0.024068590123339565,0.0033045980374295913
27,group2,nGelPW(CSH),linear,0.9942392183870945,0.000766931202771455,-0.011517575311208197,0.0004729044051050749
28,group3,Vol(aq),linear,0.999999999999555,1.0627980091931497e-13,-1.9649371735347986e-08,1.693381453542731e-09
29,group3,pH,CONST,0.0,0.0,0.0,0.0
30,group3,nCa(aq),linear,0.999999904196034,2.355069961071895e-08,-9.623150559500434e-09,1.321477583730357e-09
31,group3,nCa(s),linear,0.9999999999998659,2.9501573537005716e-14,-3.1369642179967635e-08,1.691289595951879e-09
32,group3,nSi(aq),linear,0.9999999520693782,1.3589375585571858e-08,-2.5495175899280372e-08,3.978414826796109e-09
33,group3,nSi(s_reac),linear,0.9999999999998982,3.844126982183252e-14,-3.905529359264563e-08,4.631243672943827e-09
34,group3,nPortlandite,CONST,0.0,0.0,0.0,0.0
35,group3,nAmor-Sl,rfModel,0.9889729019632577,0.003098048120331841,-0.012593518521112314,0.002351971372404181
36,group3,mCSHQ,linear,0.999999999999955,7.509655555160403e-15,-3.379332627597489e-09,1.736454994426123e-10
37,group3,nCa(CSHQ),linear,0.9999999999998659,2.9501573537005716e-14,-3.1369642179967635e-08,1.691289595951879e-09
38,group3,nSi(CSHQ),linear,0.9999999999999207,1.9255953431276585e-14,-3.582238518018776e-08,3.552549126772545e-09
39,group3,nH2O(CSHQ),linear,0.9999999999999284,5.1137925841340715e-14,-4.992956437365051e-08,2.0174205802858182e-08
40,group3,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
41,group3,nGelPW(CSH),linear,0.9999999999998106,3.586085676181334e-14,-2.8722765342403387e-08,2.238491270261839e-09
