T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.8462617,0.2082002,4.992534,0.07017958,12.47261,0.001422435,0.8448393,2.169658e-06,0.208198,0.5060968,0.0,0.04230008,0.3387425,0.208198,0.5992047,1.627021,0.2562616
25.0,1.178037,0.3853599,4.441285,0.05022895,12.47261,0.001018066,1.177019,1.552893e-06,0.3853583,0.550033,0.0,0.07829416,0.6269859,0.3853583,1.109081,1.627021,0.4743203
25.0,1.20155,0.5928832,3.369504,0.02575858,12.47261,0.0005220878,1.201028,7.963643e-07,0.5928824,0.2363961,0.0,0.1204573,0.9646318,0.5928824,1.706346,1.627021,0.7297523
25.0,1.692473,0.4605613,6.127143,0.06968629,12.47261,0.001412441,1.691061,2.154629e-06,0.4605591,0.9417213,0.0,0.09357289,0.7493392,0.4605591,1.325513,1.627021,0.5668816
25.0,1.52583,0.2379867,4.295207,0.04463919,12.47261,0.0009047318,1.524925,1.380077e-06,0.2379853,1.137718,0.0,0.04835204,0.387207,0.2379853,0.6849341,1.627021,0.2929254
25.0,1.098953,0.4246295,3.383972,0.03167441,12.47261,0.0006419928,1.098311,9.792583e-07,0.4246285,0.4074317,0.0,0.08627277,0.6908793,0.4246285,1.222103,1.627021,0.5226562
25.0,0.6078595,0.2802863,5.633823,0.08443851,12.47261,0.001711443,0.6061481,2.610537e-06,0.2802837,0.1501207,0.0,0.0569459,0.4560273,0.2802837,0.806671,1.627021,0.3449886
25.0,0.9205043,0.3890757,4.093023,0.04850638,12.47261,0.000983152,0.9195211,1.499644e-06,0.3890742,0.2864894,0.0,0.07904912,0.6330317,0.3890742,1.119776,1.627021,0.478894
25.0,1.021155,0.4934795,3.523371,0.03404148,12.47261,0.0006899697,1.020465,1.052435e-06,0.4934784,0.2175655,0.0,0.1002612,0.8028996,0.4934784,1.420257,1.627021,0.6074005
25.0,0.9173765,0.2957763,5.751418,0.08062231,12.47261,0.001634096,0.9157424,2.492539e-06,0.2957738,0.4345123,0.0,0.06009306,0.4812301,0.2957738,0.8512524,1.627021,0.3640547
25.0,1.291599,0.2430335,3.67494,0.03755317,12.47261,0.0007611247,1.290838,1.161005e-06,0.2430323,0.8954193,0.0,0.04937745,0.3954186,0.2430323,0.6994597,1.62702,0.2991376
25.0,1.025389,0.2669342,7.728856,0.1150367,12.47261,0.002331619,1.023057,3.556495e-06,0.2669306,0.5887557,0.0,0.05423293,0.4343016,0.2669306,0.7682403,1.627021,0.328553
25.0,0.9292361,0.3659745,5.589255,0.07589332,12.47261,0.001538245,0.9276979,2.346388e-06,0.3659722,0.3322536,0.0,0.07435542,0.5954442,0.3659722,1.053287,1.627021,0.4504587
25.0,1.309555,0.3222294,6.18415,0.08075705,12.47261,0.001636824,1.307918,2.49672e-06,0.3222269,0.7836484,0.0,0.0654676,0.5242698,0.3222269,0.9273858,1.627021,0.3966146
25.0,1.559557,0.2100182,5.736908,0.07069981,12.47261,0.001432979,1.558124,2.185787e-06,0.210016,1.216424,0.0,0.04266945,0.3417004,0.210016,0.604437,1.627021,0.2584993
25.0,1.414621,0.2443145,5.532315,0.06884748,12.47261,0.001395405,1.413226,2.128511e-06,0.2443124,1.015724,0.0,0.04963752,0.3975013,0.2443124,0.7031438,1.627021,0.3007132
25.0,0.9545808,0.4622832,3.997126,0.04450493,12.47261,0.0009020484,0.9536788,1.375925e-06,0.4622818,0.2015367,0.0,0.09392288,0.752142,0.4622818,1.330471,1.627021,0.5690019
25.0,1.221756,0.3292198,5.637131,0.07230538,12.47261,0.001465521,1.22029,2.235386e-06,0.3292176,0.6846468,0.0,0.06688791,0.5356437,0.3292176,0.9475053,1.62702,0.4052191
25.0,1.258791,0.5665478,4.655774,0.04855048,12.47261,0.0009840458,1.257807,1.501005e-06,0.5665463,0.3360245,0.0,0.1151065,0.9217825,0.5665463,1.63055,1.627021,0.6973364
25.0,0.5916519,0.3619202,7.228181,0.1116817,12.4726,0.00226356,0.5893883,3.452992e-06,0.3619167,0.0005462602,0.0,0.07353116,0.5888421,0.3619167,1.04161,1.62701,0.4454644
25.0,1.207257,0.4077583,6.238221,0.08164869,12.47261,0.0016549,1.205602,2.52429e-06,0.4077558,0.5421751,0.0,0.0828447,0.663427,0.4077558,1.173542,1.627021,0.5018883
25.0,0.9857235,0.2450536,3.81661,0.0455904,12.47261,0.0009240485,0.9847995,1.409497e-06,0.2450522,0.5860945,0.0,0.04978783,0.3987049,0.2450522,0.7052729,1.62702,0.3016237
25.0,0.7628707,0.3958485,4.818651,0.06430548,12.47261,0.001303377,0.7615673,1.988101e-06,0.3958465,0.1175169,0.0,0.08042507,0.6440504,0.3958465,1.139267,1.627021,0.4872297
25.0,0.6535804,0.2454049,6.772928,0.1049737,12.47261,0.002127666,0.6514527,3.24544e-06,0.2454017,0.2521792,0.0,0.04985883,0.3992735,0.2454017,0.7062787,1.627021,0.3020539
25.0,1.57696,0.6922936,4.139392,0.03063695,12.47261,0.0006209651,1.576339,9.471806e-07,0.6922927,0.4499647,0.0,0.1406547,1.126374,0.6922927,1.992454,1.627021,0.8521119
25.0,1.361339,0.2056901,6.12016,0.08129923,12.47261,0.001647837,1.359691,2.513477e-06,0.2056876,1.025033,0.0,0.04179003,0.3346579,0.2056876,0.5919796,1.627021,0.2531716
25.0,0.7981928,0.3583953,4.09678,0.05147644,12.47261,0.001043351,0.7971494,1.591456e-06,0.3583937,0.2140355,0.0,0.07281569,0.5831139,0.3583937,1.031476,1.627021,0.4411307
25.0,1.250778,0.2946379,6.559254,0.08921656,12.47261,0.001808295,1.24897,2.758249e-06,0.2946351,0.7695922,0.0,0.05986172,0.4793775,0.2946351,0.8479753,1.627021,0.3626532
25.0,1.289887,0.2334276,6.056215,0.08080809,12.47261,0.00163786,1.288249,2.498286e-06,0.2334251,0.9084617,0.0,0.04742553,0.3797874,0.2334251,0.6718096,1.62702,0.2873125
25.0,1.107127,0.6491545,2.936416,0.01837072,12.47261,0.0003723467,1.106755,5.679558e-07,0.6491539,0.0505679,0.0,0.1318901,1.056187,0.6491539,1.868299,1.62702,0.7990144
25.0,1.588401,0.3425381,3.46065,0.02607437,12.47261,0.0005284883,1.587873,8.061236e-07,0.3425373,1.030557,0.0,0.06959411,0.5573152,0.3425373,0.9858401,1.627021,0.4216138
25.0,1.442798,0.3132141,4.470458,0.0476042,12.47261,0.0009648661,1.441833,1.471748e-06,0.3132126,0.9322298,0.0,0.06363615,0.5096034,0.3132126,0.9014422,1.627021,0.3855194
25.0,1.54515,0.6800862,6.36211,0.07163064,12.47261,0.001451846,1.543698,2.214556e-06,0.680084,0.4371875,0.0,0.1381743,1.106511,0.680084,1.957317,1.627021,0.8370849
25.0,1.484189,0.3363912,3.055606,0.02078007,12.47261,0.0004211807,1.483768,6.424447e-07,0.3363906,0.9364535,0.0,0.06834526,0.5473143,0.3363906,0.9681495,1.62702,0.414048
25.0,1.44748,0.3175447,6.696821,0.08763098,12.47261,0.001776151,1.445704,2.709226e-06,0.317542,0.9290565,0.0,0.06451575,0.5166473,0.317542,0.9139023,1.627021,0.3908482
25.0,1.158732,0.2557838,3.280439,0.03253985,12.47261,0.0006595341,1.158072,1.006002e-06,0.2557828,0.7419086,0.0,0.05196799,0.4161639,0.2557828,0.7361562,1.627021,0.3148316
25.0,1.154899,0.4702027,3.712494,0.03556757,12.47261,0.0007209014,1.154178,1.099623e-06,0.4702016,0.3891504,0.0,0.09553196,0.7650277,0.4702016,1.353265,1.627021,0.57875
25.0,1.577539,0.37424,3.84173,0.03243676,12.47261,0.0006574445,1.576882,1.002824e-06,0.374239,0.967987,0.0,0.07603502,0.6088945,0.374239,1.077079,1.627021,0.460634
25.0,1.652045,0.5352302,3.979036,0.02993349,12.47261,0.0006067069,1.651438,9.254355e-07,0.5352293,0.7806093,0.0,0.1087438,0.870829,0.5352293,1.540418,1.627021,0.6587897
25.0,1.461423,0.3276788,7.328584,0.09856015,12.47261,0.001997669,1.459425,3.04714e-06,0.3276758,0.9262901,0.0,0.06657465,0.5331352,0.3276758,0.9430678,1.627021,0.4033214
25.0,1.173291,0.2652348,2.943964,0.02598646,12.47261,0.0005267065,1.172764,8.034066e-07,0.265234,0.7412231,0.0,0.05388821,0.4315412,0.265234,0.7633572,1.627021,0.3264646
25.0,1.489161,0.2934236,7.535009,0.1025613,12.47261,0.002078799,1.487082,3.170822e-06,0.2934204,1.009681,0.0,0.05961492,0.4774011,0.2934204,0.8444793,1.627021,0.3611581
25.0,1.428599,0.4612705,7.695107,0.1027541,12.47261,0.002082676,1.426516,3.176782e-06,0.4612673,0.6760249,0.0,0.09371677,0.7504914,0.4612673,1.327551,1.627021,0.5677532
25.0,1.202232,0.3626956,4.165093,0.0453159,12.47261,0.0009184855,1.201314,1.401007e-06,0.3626942,0.6112026,0.0,0.07368943,0.5901109,0.3626942,1.043853,1.627021,0.446424
25.0,1.174963,0.3722954,4.721488,0.05564025,12.47261,0.001127745,1.173835,1.720205e-06,0.3722937,0.5681058,0.0,0.07563978,0.6057295,0.3722937,1.071481,1.627021,0.4582396
25.0,1.051863,0.2448651,3.410986,0.03707439,12.47261,0.0007514424,1.051112,1.146205e-06,0.244864,0.6527129,0.0,0.04974959,0.3983987,0.244864,0.7047312,1.627021,0.3013921
25.0,1.355866,0.3638718,8.325583,0.1176551,12.47261,0.002384694,1.353481,3.637472e-06,0.3638682,0.7614603,0.0,0.07392795,0.592021,0.3638682,1.047231,1.627021,0.447869
25.0,1.337193,0.5584698,3.360582,0.02392521,12.47261,0.000484928,1.336708,7.396807e-07,0.5584691,0.4280675,0.0,0.1134655,0.9086406,0.5584691,1.607303,1.62702,0.6873945
25.0,1.426694,0.4843704,6.01007,0.07183405,12.47261,0.00145597,1.425238,2.220843e-06,0.4843682,0.6371611,0.0,0.09841022,0.788077,0.4843682,1.394037,1.627021,0.5961871
25.0,1.591122,0.6283213,7.455144,0.09171066,12.47261,0.001858839,1.589263,2.835356e-06,0.6283185,0.5669761,0.0,0.1276569,1.022287,0.6283185,1.808333,1.627021,0.773369
25.0,1.736901,0.4472736,3.832849,0.02774805,12.47261,0.0005624045,1.736339,8.578663e-07,0.4472727,1.008617,0.0,0.09087346,0.7277219,0.4472727,1.287274,1.627021,0.550528
25.0,1.720252,0.3008834,4.037191,0.03504684,12.47261,0.0007103367,1.719542,1.083518e-06,0.3008823,1.23,0.0,0.06113097,0.4895417,0.3008823,0.865955,1.627021,0.3703426
25.0,1.086867,0.2613434,3.95057,0.04581504,12.47261,0.0009286028,1.085938,1.416433e-06,0.261342,0.6607296,0.0,0.05309747,0.4252088,0.261342,0.7521558,1.627021,0.3216741
25.0,1.310769,0.4810592,5.181346,0.05903535,12.47261,0.001196558,1.309572,1.825147e-06,0.4810574,0.5268822,0.0,0.09773756,0.7826902,0.4810574,1.384508,1.627021,0.5921119
25.0,1.506264,0.644334,3.584159,0.02296959,12.47261,0.000465559,1.505798,7.101355e-07,0.6443333,0.457455,0.0,0.1309107,1.048343,0.6443333,1.854425,1.627021,0.7930809
25.0,1.366301,0.6917004,6.439334,0.07599301,12.47261,0.001540265,1.364761,2.349424e-06,0.6916981,0.2393538,0.0,0.1405339,1.125407,0.6916981,1.990743,1.627021,0.8513801
25.0,1.098465,0.4442031,5.611742,0.07147556,12.47261,0.001448704,1.097016,2.209766e-06,0.4442009,0.3742923,0.0,0.09024934,0.722724,0.4442009,1.278433,1.627021,0.5467469
25.0,0.5288873,0.280881,5.179798,0.07765144,12.47261,0.001573879,0.5273134,2.400683e-06,0.2808786,0.07031817,0.0,0.05706677,0.4569953,0.2808786,0.8083832,1.627021,0.3457209
25.0,1.19773,0.2517693,7.064936,0.1002761,12.47261,0.002032436,1.195698,3.100168e-06,0.2517662,0.7860688,0.0,0.05115193,0.4096288,0.2517662,0.7245962,1.627021,0.3098877
25.0,0.7747775,0.4220374,7.147444,0.1055579,12.47261,0.002139501,0.772638,3.263444e-06,0.4220341,0.08597979,0.0,0.08574567,0.6866582,0.4220341,1.214636,1.627021,0.5194629
25.0,1.101385,0.6209687,3.750888,0.03382103,12.47261,0.0006855015,1.100699,1.045619e-06,0.6209677,0.09037238,0.0,0.1261635,1.010327,0.6209677,1.787177,1.627021,0.7643212
25.0,0.7389178,0.3028603,4.398698,0.05925453,12.47261,0.001201001,0.7377168,1.83194e-06,0.3028585,0.2449599,0.0,0.06153247,0.4927569,0.3028585,0.8716424,1.627021,0.3727749
25.0,0.4698826,0.2732405,4.641857,0.06917425,12.47261,0.00140206,0.4684805,2.138634e-06,0.2732384,0.02391611,0.0,0.05551448,0.4445644,0.2732384,0.7863942,1.627021,0.3363168
25.0,1.747392,0.5417872,4.322019,0.03425778,12.47261,0.0006943539,1.746698,1.059125e-06,0.5417861,0.8652005,0.0,0.110076,0.8814972,0.5417861,1.559289,1.627021,0.6668602
25.0,0.5541835,0.3094587,6.790169,0.105633,12.47261,0.002141023,0.5520425,3.265748e-06,0.3094554,0.04855213,0.0,0.06287279,0.5034904,0.3094554,0.8906288,1.627021,0.3808948
25.0,0.7343886,0.2386921,4.071031,0.05486834,12.47261,0.001112099,0.7332765,1.696337e-06,0.2386904,0.3449223,0.0,0.04849529,0.3883542,0.2386904,0.6869634,1.627021,0.2937933
25.0,1.575561,0.2063293,7.475055,0.1018859,12.47261,0.002065036,1.573496,3.149935e-06,0.2063262,1.237799,0.0,0.04191977,0.3356969,0.2063262,0.5938174,1.627021,0.2539576
25.0,1.099464,0.6521987,2.780709,0.01562821,12.47261,0.0003167602,1.099147,4.831692e-07,0.6521982,0.03800746,0.0,0.1325086,1.06114,0.6521982,1.87706,1.62702,0.8027614
25.0,1.198966,0.2336043,6.897806,0.09764572,12.47261,0.001979139,1.196987,3.018822e-06,0.2336013,0.8169128,0.0,0.04746132,0.3800741,0.2336013,0.6723166,1.62702,0.2875293
25.0,0.6999555,0.4193311,7.718209,0.1172786,12.47261,0.002377064,0.6975784,3.625839e-06,0.4193275,0.01532402,0.0,0.08519575,0.6822544,0.4193275,1.206846,1.627021,0.5161314
25.0,1.333765,0.4686835,4.211798,0.04138915,12.47261,0.0008388968,1.332926,1.279597e-06,0.4686822,0.5703705,0.0,0.09522327,0.7625556,0.4686822,1.348892,1.627021,0.5768799
25.0,1.722442,0.2072916,5.51534,0.06381801,12.47261,0.001293527,1.721148,1.973017e-06,0.2072896,1.383884,0.0,0.04211552,0.3372645,0.2072896,0.5965903,1.627021,0.2551435
25.0,1.464671,0.539652,7.827822,0.1027286,12.47261,0.002082164,1.462589,3.176176e-06,0.5396488,0.5845691,0.0,0.1096417,0.8780197,0.5396488,1.553137,1.627021,0.6642295
25.0,1.247984,0.3927259,3.012181,0.02298894,12.47261,0.0004659511,1.247518,7.107341e-07,0.3927252,0.6085461,0.0,0.0797909,0.6389719,0.3927252,1.130283,1.627021,0.4833878
25.0,1.308627,0.3419554,5.885659,0.07493723,12.47261,0.001518866,1.307108,2.316789e-06,0.3419531,0.7507434,0.0,0.06947541,0.5563647,0.3419531,0.9841587,1.627021,0.4208947
25.0,0.6381776,0.2172248,4.925305,0.0725196,12.47261,0.001469864,0.6367077,2.242059e-06,0.2172226,0.2832822,0.0,0.04413362,0.3534256,0.2172226,0.6251778,1.627021,0.2673695
25.0,1.213437,0.4748945,6.689466,0.08816988,12.47261,0.001787074,1.21165,2.72589e-06,0.4748918,0.4389912,0.0,0.09648488,0.7726587,0.4748918,1.366763,1.627021,0.584523
25.0,0.6877715,0.2069327,6.335378,0.09732304,12.47261,0.001972595,0.6857989,3.008885e-06,0.2069297,0.34912,0.0,0.04204239,0.3366789,0.2069297,0.5955544,1.627021,0.2547005
25.0,1.425014,0.2315054,8.055329,0.114516,12.47261,0.002321077,1.422693,3.540418e-06,0.2315019,1.046035,0.0,0.04703478,0.3766583,0.2315019,0.6662744,1.627021,0.2849453
25.0,1.644916,0.3469552,3.974297,0.03423059,12.47261,0.0006938028,1.644222,1.058288e-06,0.3469541,1.079721,0.0,0.07049149,0.5645015,0.3469541,0.998552,1.627021,0.4270503
25.0,1.776407,0.6366587,3.386397,0.01469241,12.47261,0.0002977929,1.776109,4.542361e-07,0.6366582,0.7402532,0.0,0.1293513,1.035856,0.6366582,1.832335,1.62702,0.783634
25.0,0.7439315,0.4382257,4.291162,0.05416335,12.47261,0.00109781,0.7428337,1.674516e-06,0.438224,0.0298342,0.0,0.08903501,0.7129995,0.438224,1.261232,1.627021,0.5393903
25.0,1.726609,0.2463985,6.256483,0.07624457,12.47261,0.001545408,1.725064,2.357208e-06,0.2463961,1.324172,0.0,0.05006088,0.4008916,0.2463961,0.7091409,1.627021,0.303278
25.0,1.740663,0.6478475,5.86929,0.05992741,12.47261,0.001214639,1.739448,1.852739e-06,0.6478456,0.6853902,0.0,0.1316243,1.054058,0.6478456,1.864533,1.627021,0.7974041
25.0,1.610066,0.425079,4.477137,0.04217639,12.47261,0.0008548425,1.609211,1.303935e-06,0.4250777,0.917601,0.0,0.08636404,0.6916102,0.4250777,1.223396,1.627021,0.5232091
25.0,0.4855097,0.2159737,5.259638,0.08134334,12.47261,0.001648708,0.483861,2.514839e-06,0.2159712,0.1324714,0.0,0.04387937,0.3513896,0.2159712,0.6215763,1.627021,0.2658292
25.0,0.9497741,0.2007609,5.447406,0.07669339,12.47261,0.001554496,0.9482196,2.371082e-06,0.2007585,0.6215813,0.0,0.04078858,0.3266383,0.2007585,0.5777935,1.627021,0.2471047
25.0,1.321697,0.6614197,4.97698,0.05107193,12.47261,0.001035152,1.320662,1.578964e-06,0.6614181,0.244521,0.0,0.1343819,1.076141,0.6614181,1.903596,1.627021,0.8141099
25.0,1.690016,0.2291963,5.595278,0.06535243,12.47262,0.001324648,1.688691,2.020465e-06,0.2291943,1.315788,0.0,0.04656594,0.3729038,0.2291943,0.659633,1.627021,0.282105
25.0,1.29956,0.2097851,5.440596,0.07004921,12.47261,0.001419792,1.29814,2.165664e-06,0.2097829,0.9568191,0.0,0.04262209,0.3413211,0.2097829,0.6037662,1.62702,0.2582124
25.0,0.7845785,0.3751035,5.916278,0.08420582,12.47261,0.001706727,0.7828718,2.603333e-06,0.3751009,0.1725749,0.0,0.07621013,0.6102969,0.3751009,1.07956,1.627021,0.4616949
25.0,0.6631597,0.3500411,3.896599,0.05048861,12.47261,0.001023329,0.6621364,1.560918e-06,0.3500395,0.09261485,0.0,0.07111836,0.5695215,0.3500395,1.007432,1.627021,0.430848
25.0,0.7185344,0.2013513,4.085647,0.05626233,12.47261,0.001140359,0.717394,1.739426e-06,0.2013496,0.3897942,0.0,0.04090866,0.3275999,0.2013496,0.5794945,1.627021,0.2478321
25.0,1.198816,0.4955102,3.322922,0.02716674,12.47261,0.0005506291,1.198265,8.398951e-07,0.4955094,0.3920615,0.0,0.1006738,0.8062039,0.4955094,1.426102,1.627021,0.6099002
25.0,1.753583,0.6923298,4.897876,0.04114482,12.47261,0.0008339441,1.752749,1.272045e-06,0.6923285,0.6263163,0.0,0.140662,1.126433,0.6923285,1.992557,1.627021,0.8521561
25.0,1.664175,0.6524178,4.155835,0.03025974,12.47261,0.0006133197,1.663562,9.355231e-07,0.6524169,0.6020661,0.0,0.1325531,1.061496,0.6524169,1.87769,1.627021,0.8030306
25.0,1.741429,0.3689539,7.469975,0.09512412,12.47261,0.001927979,1.739501,2.940884e-06,0.368951,1.13921,0.0,0.07496063,0.6002908,0.368951,1.06186,1.62702,0.4541252
25.0,0.9468401,0.5410256,6.673635,0.09120465,12.47261,0.001848583,0.9449915,2.819709e-06,0.5410228,0.06473634,0.0,0.1099209,0.8802552,0.5410228,1.557092,1.627021,0.6659207
