,R2,R2,R2,R2,RMSE,RMSE,RMSE,RMSE
modelSimulation,GPyModel_simulation,gbModel_simulation,lgbModel_simulation,rfModel_simulation,GPyModel_simulation,gbModel_simulation,lgbModel_simulation,rfModel_simulation
Var,,,,,,,,
C/S(CSHQ),0.9998940349966762,0.9985026848636992,0.999134331223691,0.9992918773128803,1.3587042592776634e-05,0.0001919887122502821,0.00011099776497915434,9.079689339893383e-05
Vol(aq),0.999872396847999,0.9990880366470533,0.999565602728821,0.9994270680732336,1.207104334355911e-07,8.627019778529471e-07,4.109325049182805e-07,5.419839567011841e-07
mCSHQ,0.9999163387904009,0.9997440160418671,0.9998172769865707,0.9998898360944477,7.460335520321068e-08,2.282690179404063e-07,1.629399089490997e-07,9.823665012572455e-08
nAmor-Sl,0.9992392029346285,0.9955682767912012,0.9975039025587882,0.9979590738193527,3.908445819116699e-06,2.2767109437330624e-05,1.2823211408483873e-05,1.0484858263723891e-05
nCa(CSHQ),0.9999997369502892,0.9999997369502892,0.9999997369502892,0.9999997369502892,1.7263048582176282e-08,1.7263048582176282e-08,1.7263048582176282e-08,1.7263048582176282e-08
nCa(aq),0.9997840177517847,0.9966673695028349,0.9982027220445623,0.9972395135676787,1.169845302104444e-10,1.8050845210537615e-09,9.73476843637908e-10,1.495188660669308e-09
nCa(s),0.9999999387242721,0.9999999387242721,0.9999999387242721,0.9999999387242721,1.4632486288162466e-08,1.4632486288162466e-08,1.4632486288162466e-08,1.4632486288162466e-08
nGelPW(CSH),0.9990895948248791,0.9990895948248791,0.9990895948248791,0.9990895948248791,3.371381386788792e-05,3.371381386788792e-05,3.371381386788792e-05,3.371381386788792e-05
nH2O(CSHQ),0.9999139112572675,0.9996967283700354,0.9998088680155334,0.999870445179115,1.6213326168079726e-05,5.7115967756884616e-05,3.599640448853958e-05,2.4399410433741743e-05
nPortlandite,0.9999212111244391,0.9988742583506715,0.9996513244977175,0.9997325264586693,1.1644194226979954e-05,0.0001663731627194518,5.153069188843082e-05,3.952986819089841e-05
nSi(CSHQ),0.9999999872649432,0.9999999872649432,0.9999999872649432,0.9999999872649432,2.7402099048750894e-10,2.7402099048750894e-10,2.7402099048750894e-10,2.7402099048750894e-10
nSi(aq),0.9847849579777648,0.9890407314886629,0.9957867258428578,0.9961219269065192,2.3019947172849587e-10,1.6581076924754506e-10,6.374569875022742e-11,5.867419729364758e-11
nSi(s_reac),0.999999986729371,0.999999986729371,0.999999986729371,0.999999986729371,2.740209994919915e-10,2.740209994919915e-10,2.740209994919915e-10,2.740209994919915e-10
pH,0.998059785761852,0.9963232088668931,0.9980676624917292,0.9987345484139848,0.001524881543394732,0.002889717448493671,0.0015186909486779585,0.000994562213612109
