Var,R2,RMSE,modelSimulation
Vol(aq),0.9994270680732336,5.419839567011841e-07,rfModel_simulation
pH,0.9987345484139848,0.000994562213612109,rfModel_simulation
nCa(aq),0.9972395135676787,1.495188660669308e-09,rfModel_simulation
nCa(s),0.9999999387242721,1.4632486288162466e-08,rfModel_simulation
nSi(aq),0.9961219269065192,5.867419729364758e-11,rfModel_simulation
nSi(s_reac),0.999999986729371,2.740209994919915e-10,rfModel_simulation
nPortlandite,0.9997325264586693,3.952986819089841e-05,rfModel_simulation
nAmor-Sl,0.9979590738193527,1.0484858263723891e-05,rfModel_simulation
mCSHQ,0.9998898360944477,9.823665012572455e-08,rfModel_simulation
nCa(CSHQ),0.9999997369502892,1.7263048582176282e-08,rfModel_simulation
nSi(CSHQ),0.9999999872649432,2.7402099048750894e-10,rfModel_simulation
nH2O(CSHQ),0.999870445179115,2.4399410433741743e-05,rfModel_simulation
C/S(CSHQ),0.9992918773128803,9.079689339893383e-05,rfModel_simulation
nGelPW(CSH),0.9990895948248791,3.371381386788792e-05,rfModel_simulation
Vol(aq),0.999565602728821,4.109325049182805e-07,lgbModel_simulation
pH,0.9980676624917292,0.0015186909486779585,lgbModel_simulation
nCa(aq),0.9982027220445623,9.73476843637908e-10,lgbModel_simulation
nCa(s),0.9999999387242721,1.4632486288162466e-08,lgbModel_simulation
nSi(aq),0.9957867258428578,6.374569875022742e-11,lgbModel_simulation
nSi(s_reac),0.999999986729371,2.740209994919915e-10,lgbModel_simulation
nPortlandite,0.9996513244977175,5.153069188843082e-05,lgbModel_simulation
nAmor-Sl,0.9975039025587882,1.2823211408483873e-05,lgbModel_simulation
mCSHQ,0.9998172769865707,1.629399089490997e-07,lgbModel_simulation
nCa(CSHQ),0.9999997369502892,1.7263048582176282e-08,lgbModel_simulation
nSi(CSHQ),0.9999999872649432,2.7402099048750894e-10,lgbModel_simulation
nH2O(CSHQ),0.9998088680155334,3.599640448853958e-05,lgbModel_simulation
C/S(CSHQ),0.999134331223691,0.00011099776497915434,lgbModel_simulation
nGelPW(CSH),0.9990895948248791,3.371381386788792e-05,lgbModel_simulation
Vol(aq),0.9990880366470533,8.627019778529471e-07,gbModel_simulation
pH,0.9963232088668931,0.002889717448493671,gbModel_simulation
nCa(aq),0.9966673695028349,1.8050845210537615e-09,gbModel_simulation
nCa(s),0.9999999387242721,1.4632486288162466e-08,gbModel_simulation
nSi(aq),0.9890407314886629,1.6581076924754506e-10,gbModel_simulation
nSi(s_reac),0.999999986729371,2.740209994919915e-10,gbModel_simulation
nPortlandite,0.9988742583506715,0.0001663731627194518,gbModel_simulation
nAmor-Sl,0.9955682767912012,2.2767109437330624e-05,gbModel_simulation
mCSHQ,0.9997440160418671,2.282690179404063e-07,gbModel_simulation
nCa(CSHQ),0.9999997369502892,1.7263048582176282e-08,gbModel_simulation
nSi(CSHQ),0.9999999872649432,2.7402099048750894e-10,gbModel_simulation
nH2O(CSHQ),0.9996967283700354,5.7115967756884616e-05,gbModel_simulation
C/S(CSHQ),0.9985026848636992,0.0001919887122502821,gbModel_simulation
nGelPW(CSH),0.9990895948248791,3.371381386788792e-05,gbModel_simulation
Vol(aq),0.999872396847999,1.207104334355911e-07,GPyModel_simulation
pH,0.998059785761852,0.001524881543394732,GPyModel_simulation
nCa(aq),0.9997840177517847,1.169845302104444e-10,GPyModel_simulation
nCa(s),0.9999999387242721,1.4632486288162466e-08,GPyModel_simulation
nSi(aq),0.9847849579777648,2.3019947172849587e-10,GPyModel_simulation
nSi(s_reac),0.999999986729371,2.740209994919915e-10,GPyModel_simulation
nPortlandite,0.9999212111244391,1.1644194226979954e-05,GPyModel_simulation
nAmor-Sl,0.9992392029346285,3.908445819116699e-06,GPyModel_simulation
mCSHQ,0.9999163387904009,7.460335520321068e-08,GPyModel_simulation
nCa(CSHQ),0.9999997369502892,1.7263048582176282e-08,GPyModel_simulation
nSi(CSHQ),0.9999999872649432,2.7402099048750894e-10,GPyModel_simulation
nH2O(CSHQ),0.9999139112572675,1.6213326168079726e-05,GPyModel_simulation
C/S(CSHQ),0.9998940349966762,1.3587042592776634e-05,GPyModel_simulation
nGelPW(CSH),0.9990895948248791,3.371381386788792e-05,GPyModel_simulation
