T(C), b(CaO), b(SiO2), b(H2O), Vol(aq), pH, nCa(aq), nCa(s), nSi(aq), nSi(s_reac), nPortlandite, nAmor-Sl, mCSHQ, nCa(CSHQ), nSi(CSHQ), nH2O(CSHQ), C/S(CSHQ), nGelPW(CSH)
2.500000e+01,5.080603e-01,3.040813e-01,3.438876e+00,4.606149e-02,1.247261e+01,9.336008e-04,5.071267e-01,1.424097e-06,3.040799e-01,1.238250e-02,0.000000e+00,6.178062e-02,4.947442e-01,3.040799e-01,8.751577e-01,1.627021e+00,3.742783e-01
2.500000e+01,1.258791e+00,5.665478e-01,4.655774e+00,4.855048e-02,1.247261e+01,9.840458e-04,1.257807e+00,1.501005e-06,5.665463e-01,3.360245e-01,0.000000e+00,1.151065e-01,9.217825e-01,5.665463e-01,1.630550e+00,1.627021e+00,6.973364e-01
2.500000e+01,1.396591e+00,6.971164e-01,4.671613e+00,4.339771e-02,1.247261e+01,8.796067e-04,1.395711e+00,1.341699e-06,6.971151e-01,2.614909e-01,0.000000e+00,1.416345e-01,1.134221e+00,6.971151e-01,2.006333e+00,1.627021e+00,8.580476e-01
2.500000e+01,1.461423e+00,3.276788e-01,7.328584e+00,9.856015e-02,1.247261e+01,1.997669e-03,1.459425e+00,3.047140e-06,3.276758e-01,9.262901e-01,0.000000e+00,6.657465e-02,5.331352e-01,3.276758e-01,9.430678e-01,1.627021e+00,4.033214e-01
2.500000e+01,6.679070e-01,3.899255e-01,7.342961e+00,1.117447e-01,1.247261e+01,2.264899e-03,6.656421e-01,3.454804e-06,3.899220e-01,3.123092e-02,0.000000e+00,7.922138e-02,6.344112e-01,3.899220e-01,1.122216e+00,1.627021e+00,4.799375e-01
2.500000e+01,1.500765e+00,2.815328e-01,2.850294e+00,1.801217e-02,1.247261e+01,3.650792e-04,1.500400e+00,5.568708e-07,2.815322e-01,1.042341e+00,0.000000e+00,5.719957e-02,4.580587e-01,2.815322e-01,8.102644e-01,1.627020e+00,3.465254e-01
2.500000e+01,1.790323e+00,4.953062e-01,5.919403e+00,6.338215e-02,1.247261e+01,1.284658e-03,1.789038e+00,1.959534e-06,4.953042e-01,9.831682e-01,0.000000e+00,1.006321e-01,8.058701e-01,4.953042e-01,1.425511e+00,1.627020e+00,6.096477e-01
2.500000e+01,1.972483e-01,5.082636e-01,3.305856e+00,5.172496e-02,9.793655e+00,5.427883e-05,1.971940e-01,2.038197e-04,5.080598e-01,0.000000e+00,2.158760e-01,3.659696e-02,1.971940e-01,2.921837e-01,4.431333e-01,6.748973e-01,1.514023e-01
2.500000e+01,1.281922e+00,6.867010e-01,2.983793e+00,1.522116e-02,1.247261e+01,3.085097e-04,1.281613e+00,4.705838e-07,6.867005e-01,1.643377e-01,0.000000e+00,1.395186e-01,1.117276e+00,6.867005e-01,1.976360e+00,1.627020e+00,8.452288e-01
2.500000e+01,1.584684e+00,5.321096e-01,7.294103e+00,9.109228e-02,1.247261e+01,1.846303e-03,1.582838e+00,2.816162e-06,5.321068e-01,7.170890e-01,0.000000e+00,1.081094e-01,8.657487e-01,5.321068e-01,1.531431e+00,1.627021e+00,6.549464e-01
2.500000e+01,1.274726e+00,2.758214e-01,4.851706e+00,5.837005e-02,1.247261e+01,1.183041e-03,1.273543e+00,1.804586e-06,2.758196e-01,8.247788e-01,0.000000e+00,5.603891e-02,4.487641e-01,2.758196e-01,7.938231e-01,1.627020e+00,3.394939e-01
2.500000e+01,1.239879e+00,4.275213e-01,2.779427e+00,1.814550e-02,1.247261e+01,3.677818e-04,1.239511e+00,5.609924e-07,4.275207e-01,5.439262e-01,0.000000e+00,8.686039e-02,6.955850e-01,4.275207e-01,1.230427e+00,1.627020e+00,5.262161e-01
2.500000e+01,6.477644e-01,2.480076e-01,4.122424e+00,5.715053e-02,1.247261e+01,1.158356e-03,6.466060e-01,1.766884e-06,2.480058e-01,2.430955e-01,0.000000e+00,5.038793e-02,4.035106e-01,2.480058e-01,7.137737e-01,1.627021e+00,3.052592e-01
2.500000e+01,1.240931e+00,4.394803e-01,5.990703e+00,7.585350e-02,1.247261e+01,1.537437e-03,1.239394e+00,2.345118e-06,4.394780e-01,5.243539e-01,0.000000e+00,8.928977e-02,7.150397e-01,4.394780e-01,1.264840e+00,1.627021e+00,5.409337e-01
